@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
2754,0.4709513,0.0018155,0.2171387,0.1846259,0.7578068,0.0450254,0.60036,0.0018002,0.0693069,0.1090617,0,0.9963996,0.4001604,0.0629371,0.4137931,19400
357,0.4593838,0.7927171,0.1484594,0.1450777,0.8543417,0,0.65,0.0083333,0.05,0.2638037,0.8083333,0.9833333,0.3251534,0.2222222,1,18800
40079,0.5018089,0.018239,0.090122,0.0724696,0.5421293,0.0773223,0.4552489,0.0087697,0.2489038,0.048297,0.0163142,0.9337116,0.5038355,0.0595467,0.1171171,82400
6542,0.5001529,0.0348517,0.071232,0.0486239,0.9252522,0,0.8387244,0.0027335,0.0432802,0.0575354,0.0314351,0.9917995,0.0734221,0.0886918,0.2,84200
1258,0.4578696,0.0286169,0.1732909,0.1642229,0.8052464,0.0357711,0.6556017,0.0082988,0.0477178,0.0474308,0.0290456,0.9917012,0.3241107,0.0969388,0,39000
387,0.498708,0,0.124031,0.1185567,0.9095607,0,0.7697842,0.0071942,0.0143885,0.0733333,0,1,0.2933333,0.1304348,1,18600
1394,0.4763271,0,0.1470588,0.1191781,0.8895265,0,0.7145709,0,0.0199601,0.0475285,0,0.998004,0.3326996,0.0555556,0.25,48100
11500,0.4929565,0.0007826,0.0493043,0.0312125,0.9593043,0,0.8657607,0.0013258,0.0175671,0.0229922,0.0006629,0.989062,0.1499352,0.2119914,0.2857143,75000
354,0.5282486,0,0.0508475,0.0359281,0.9067797,0,0.7459016,0.0081967,0.0081967,0.2947977,0,1,0.6589595,0.1290323,1,27800
5331,0.4610767,0.0497092,0.3078222,0.1441002,0.8666292,0.0333896,0.7896163,0.0018059,0.0257336,0.0268014,0.0433409,0.9453725,0.0988576,0.0920716,0.5,101700
3003,0.4575425,0.1371961,0.2164502,0.1921424,0.8115218,0.0765901,0.7209721,0.0009001,0.0225023,0.0702929,0.1422142,0.9954995,0.2794979,0.1364985,0.4,35200
2585,0.4924565,0.0027079,0.1226306,0.0571646,0.95706,0,0.8908686,0.0011136,0.0100223,0.01427,0.0033408,0.9955457,0.0241493,0.1666667,0.7777778,103700
2286,0.4615048,0.0358705,0.2637795,0.2087734,0.8263342,0.0205599,0.6522188,0.001032,0.0134159,0.213474,0.0237358,0.9349845,0.3303571,0.1127451,0.7368421,14999
2319,0.5187581,0.0232859,0.1254851,0.0985663,0.8939198,0,0.7705803,0.0134953,0.0499325,0.094132,0.0175439,0.7503374,0.4229829,0.2752809,0.4285714,72900
