@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
219,0.5068493,0.0319635,0.1461187,0.1018519,0.8767123,0,0.746988,0.0120482,0.060241,0.2314815,0.0240964,0.9879518,0.3518519,0,0.8,14999
2273,0.4953806,0.0189177,0.0673119,0.0453357,0.7945447,0.016718,0.6410526,0.0021053,0.0768421,0.0649606,0.0178947,0.9978947,0.1702756,0.0542169,0.2580645,106200
564,0.4574468,0.0585106,0.2996454,0.2385621,0.7641844,0.0106383,0.5672727,0.0036364,0.0145455,0.140625,0.0545455,0.9963636,0.38125,0.0561798,1,14999
620,0.4951613,0.0032258,0.1048387,0.086262,0.9096774,0,0.7927928,0.009009,0.027027,0.0512821,0.0045045,0.9954955,0.1837607,0.1627907,0,29900
3809,0.4917301,0.2053032,0.1071147,0.0857438,0.8994487,0,0.7665663,0.0082831,0.0399096,0.0170244,0.2003012,0.9856928,0.1983716,0.1065574,0.6666667,85900
133,0.4661654,0,0.2481203,0.2394366,0.8120301,0,0.6440678,0.0169492,0.0169492,0.2716049,0,1,0.1975309,0,1,14999
267,0.4606742,0,0.1348315,0.1319444,0.9138577,0,0.7765957,0,0.0212766,0.1531532,0,0.9893617,0.2972973,0.24,0,25500
248,0.4919355,0.1612903,0.1975806,0.1269841,0.9112903,0,0.787234,0,0.0212766,0.1047619,0.1276596,1,0.1619048,0.1153846,1,23800
6614,0.4987904,0.004687,0.0721197,0.0582202,0.9374055,0,0.8477938,0.0019831,0.0391671,0.0146556,0.0044621,0.9945464,0.1001466,0.1345029,0.4,134600
22995,0.4928898,0.0010002,0.0393564,0.0345596,0.9782127,0,0.9261309,0.0034358,0.0127887,0.0385392,0.0013361,0.0706242,0.4670582,0.3648393,0.7826087,28900
1539,0.4437947,0.0045484,0.1975309,0.1565421,0.791423,0.0519818,0.6504854,0.0097087,0.02589,0.0978102,0.0113269,0.9983819,0.3445255,0.1011236,0.4444444,28500
176,0.4886364,0.9943182,0.1647727,0.1333333,0.8295455,0,0.625,0.0138889,0.0277778,0.1627907,1,1,0.3372093,0.1578947,1,14999
340,0.5264706,0,0.1147059,0.0931677,0.9235294,0,0.7931034,0,0.0172414,0.0569106,0,0.8965517,0.3333333,0.2903226,0.5,33800
950,0.4905263,0.0010526,0.2126316,0.1466942,0.86,0,0.6823821,0,0.0124069,0.0562061,0,0.9925558,0.2529274,0.0217391,1,24900
5348,0.4457741,0.0624533,0.2131638,0.1987179,0.8227375,0.0364622,0.675253,0.0022999,0.0165593,0.0653482,0.0556578,0.9977001,0.3521066,0.0764331,0.4666667,23000
4811,0.4872168,0.001455,0.1781334,0.1483583,0.848888,0.0195386,0.7106383,0.0074468,0.031383,0.0557509,0.0010638,0.9925532,0.3124058,0.0940499,0.6315789,35500
6243,0.4813391,0.0115329,0.1135672,0.0926498,0.8734583,0,0.7356924,0.003495,0.0602883,0.0280255,0.0126693,0.9654871,0.2267516,0.0668486,0.1818182,149400
412,0.5533981,0,0.1067961,0.0923913,0.9199029,0,0.761194,0,0.0074627,0.0218978,0,1,0.1532847,0.0833333,0,30800
533,0.4971857,0,0.1538462,0.1529851,0.8761726,0,0.7330097,0.0097087,0.0339806,0.1452282,0,0.9951456,0.4605809,0.1851852,0.5,20800
24164,0.4891988,0.0052144,0.1025079,0.0709714,0.9373862,0.0024003,0.8379499,0.0050363,0.0342172,0.0254078,0.0056288,0.3675011,0.3607622,0.3333333,0.2888889,139100
98,0.5102041,0,0.2653061,0.0416667,0.8877551,0,0.7179487,0,0,0.2641509,0,1,0.3018868,0.1428571,0,14999
2739,0.4574662,0.0186199,0.2774735,0.2207268,0.7159547,0.0434465,0.5625,0.0023734,0.0712025,0.0358505,0.0205696,0.9968354,0.3180778,0.0095087,0.5,72600
1547,0.5080802,0.021978,0.0387847,0.0249671,0.9631545,0,0.9089069,0.0020243,0.01417,0.0426357,0.0182186,0.9838057,0.0387597,0.2727273,0.625,108100
1478,0.4830853,0.0879567,0.1197564,0.1465969,0.8538566,0,0.6816609,0.0051903,0.0432526,0.0692432,0.0657439,0.9913495,0.5152979,0.0984848,0.3333333,16300
25399,0.4691917,0.0065751,0.1622899,0.1122979,0.6323871,0.1318556,0.5667452,0.0041783,0.1106707,0.035943,0.0034283,0.996036,0.3817393,0.0629782,0.3414634,37300
1255,0.5099602,0.012749,0.0557769,0.0504065,0.9195219,0,0.8009828,0.002457,0.041769,0.397929,0.007371,0.8845209,0.3565089,0.1848739,0.8,46100
1142,0.4465849,0,0.3134851,0.221519,0.8029772,0.0201401,0.6214149,0,0.0076482,0.062724,0,1,0.2043011,0.0842105,0.7857143,16000
79,0.4683544,0,0.1139241,0.0952381,0.8734177,0,0.7241379,0,0.0689655,0.0333333,0,1,0.2333333,0.25,0,61300
1079,0.4698795,0.0936052,0.141798,0.1118881,0.8693234,0,0.6978923,0.0046838,0.0187354,0.1048218,0.1030445,0.9953162,0.4716981,0.1011236,1,14999
438,0.4589041,0,0.3242009,0.2025316,0.8493151,0,0.6896552,0.0049261,0.0098522,0.0896861,0,0.9950739,0.1838565,0.0232558,0,14999
1696,0.4428066,0,0.3060142,0.2232804,0.7682783,0.0595519,0.6211096,0,0.014885,0.0865266,0,0.9972936,0.2262052,0.0751445,0.5714286,18600
603,0.5074627,0,0.1791045,0.1380471,0.8739635,0,0.696,0,0,0.2088608,0,1,0.2943038,0.037037,0.9375,15300
839,0.4827175,0.0023838,0.1454112,0.1105991,0.9070322,0,0.771875,0,0.0125,0.0724638,0.003125,0.971875,0.2289855,0.0847458,0.5,26200
7172,0.8077245,0.2322922,0.0004183,0.0007252,0.1583938,0.8403514,0.9724771,0,0,0.018018,0.2171254,0.9296636,0.3243243,0.1802575,0,106300
72,0.5833333,0,0.2083333,0.2,0.8611111,0,0.6774194,0,0,0.1842105,0,1,0.2894737,0,0,14999
3344,0.6414474,0.145634,0.0669856,0.0617181,0.6552033,0.2948565,0.8231552,0.0038168,0.0254453,0.0175,0,0.9961832,0.13375,0.1347518,0,54700
19997,0.4927739,0.1739761,0.0762614,0.0681258,0.8451268,0.0036005,0.7015437,0.0026389,0.0779786,0.0523881,0.1696794,0.9408893,0.3094524,0.0951807,0.3214286,133300
