@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
243,0.5720165,0.0164609,0.0534979,0.0384615,0.6131687,0.0041152,0.4196429,0.0089286,0.2142857,0.5773585,0.0089286,0.9821429,0.5018868,0.0694444,0.9545455,0
4117,0.4984212,0.0051008,0.055623,0.0387409,0.9266456,0,0.8517699,0.0073746,0.0538348,0.0286533,0.0036873,0.9741888,0.1332378,0.1328413,0.4166667,76200
214,0.4859813,0.1261682,0.1542056,0.1545455,0.8785047,0,0.7209302,0,0.0232558,0.1041667,0.0813953,1,0.2604167,0.1578947,1,20500
940,0.4287234,0.0010638,0.3010638,0.2458101,0.7840426,0.0723404,0.6552632,0,0.0105263,0.0865385,0,1,0.3221154,0.045045,0,29100
4502,0.4740116,0.3127499,0.1463794,0.1338682,0.8329631,0.0388716,0.698125,0.008125,0.0425,0.0934844,0.285625,0.94375,0.3541076,0.1634615,0.4166667,26500
20051,0.4861603,0.0035908,0.1126128,0.0943415,0.8688843,0.0005486,0.7144426,0.0067271,0.0547776,0.0636329,0.0046678,0.9887424,0.3170073,0.1160377,0.3157895,30400
15307,0.4931731,0.0928333,0.0770236,0.0725703,0.8684262,0.0075782,0.7444587,0.0031141,0.0710753,0.0253526,0.0873786,0.9855285,0.1753258,0.0701187,0.2857143,79200
237,0.5527426,0,0.0379747,0.0283019,0.9704641,0,0.877193,0,0,0.1617647,0,1,0.1911765,0.3333333,1,30000
14399,0.4624627,0.0015279,0.2215432,0.1599483,0.7832488,0.0244461,0.6222293,0.0052248,0.0493984,0.0462096,0.001425,0.9933502,0.3187859,0.0430639,0.2156863,56200
821,0.4226553,0.3337393,0.3045067,0.2700422,0.6601705,0.1400731,0.5151515,0,0.0121212,0.1911765,0.3666667,0.9939394,0.4387255,0.0765027,0.8333333,17600
2315,0.4561555,0.0332613,0.2077754,0.1930103,0.8077754,0.0444924,0.6585106,0.0010638,0.0202128,0.1098485,0.0340426,0.9968085,0.4308712,0.0566038,0.8,24300
