@relation house
@attribute P1 real[2,7322564]
@attribute P5p1 real[0.125,0.9230769]
@attribute P6p2 real[0,1]
@attribute P11p4 real[0,0.9172546]
@attribute P14p9 real[0,0.5118719]
@attribute P15p1 real[0.0541562,1]
@attribute P15p3 real[0,0.9433249]
@attribute P16p2 real[0.2337023,1]
@attribute P18p2 real[0,0.125]
@attribute P27p4 real[0,0.7057357]
@attribute H2p2 real[0,0.9751773]
@attribute H8p2 real[0,1]
@attribute H10p1 real[0.0032573,1]
@attribute H13p1 real[0,1]
@attribute H18pA real[0,1]
@attribute H40p4 real[0,1]
@attribute Price real[0,500001]
@inputs P1, P5p1, P6p2, P11p4, P14p9, P15p1, P15p3, P16p2, P18p2, P27p4, H2p2, H8p2, H10p1, H13p1, H18pA, H40p4
@outputs Price
@data
3304,0.4724576,0.0057506,0.0826271,0.0636833,0.8692494,0.0121065,0.7392344,0.0055821,0.0422648,0.0442073,0.0063796,0.992823,0.3643293,0.0684327,0.4166667,54800
1263,0.4766429,0.0007918,0.1393508,0.0922844,0.8978622,0,0.7478814,0,0.0190678,0.0503018,0,0.9978814,0.2635815,0.0844156,0.5,60900
1124,0.4955516,0.0053381,0.0854093,0.0634921,0.9403915,0,0.8611825,0.0025707,0.0205656,0.0226131,0.0051414,1,0.0276382,0.1290323,0.3333333,80600
2559,0.4568191,0.0007816,0.205549,0.1884892,0.8339195,0.0441579,0.7138614,0.0029703,0.0188119,0.0925427,0,0.9980198,0.3854447,0.0752089,0.5384615,24200
17327,0.4862354,0.0052519,0.0894558,0.0669512,0.9318982,0.008657,0.8491174,0.0006789,0.0201969,0.0264375,0.0045825,0.9887984,0.0832783,0.057508,0.0970874,173200
38,0.5263158,0,0,0.1111111,0.8421053,0,0.6,0,0,0.625,0,1,0.75,0,0,14999
1214,0.5370675,0.2866557,0.0733114,0.069395,0.9456343,0,0.820339,0.0067797,0.0271186,0.0359477,0.4,0.4983051,0.4183007,0.5,0,37400
1715,0.6274052,0.0058309,0.0915452,0.0798122,0.5819242,0.3329446,0.7570093,0.0046729,0.0794393,0.036036,0,0.9976636,0.2725225,0.0707965,0.5,78800
321,0.4517134,0.0685358,0.2616822,0.2102273,0.8566978,0,0.6805556,0,0,0.1325301,0.0694444,1,0.2409639,0.047619,0.7142857,14999
314,0.4617834,0.0031847,0.4235669,0.2071006,0.6974522,0.1464968,0.6439394,0,0.0151515,0.195122,0,1,0.304878,0.0322581,0.6,14999
17406,0.4931633,0.0934161,0.0571642,0.0579234,0.9143399,0.0067218,0.8128623,0.0076087,0.042029,0.1159513,0.0876812,0.8947464,0.3653107,0.1750768,0.5927835,40400
