@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
28.063,52.125,21.375,43.375,77.75,34.875,70,20.125,42.5,39.875
48.375,29.125,15.5,50.125,39.25,26.375,78.75,28,39.625,49.25
18.438,50.875,19.875,43.875,61.875,27.25,68.5,18.25,49,36.375
29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5,43.5
54.5,28,14.875,37.125,42.75,15,60.375,26.125,40.125,52.5
49.125,27.5,19.875,51.875,36,20.125,76.25,27.875,38.625,45.5
46.625,35,16,55,50.125,27.25,78.25,27.625,39.5,44.625
40,44.625,16,40.25,62,17.125,67.375,21.125,49.25,52.625
40.828,42.25,15.625,43.875,62.25,18,67.25,22.625,49.375,54
27.438,49.875,21.125,42.125,77.25,31.875,70.25,20.375,42.25,39.875
21.063,54,19.5,46.375,63.75,30.5,68.75,18.875,49.5,40
59.25,27.375,15.5,38.25,42.75,14.125,58.75,26.375,42.75,59.5
37.078,52.5,19.125,49.5,67.125,20.875,81.375,25.125,46.5,52.625
36.5,58,20.125,51.875,71,24.25,80,23.625,48.125,55.75
44.875,25.375,19.25,46,43.75,18.875,68,26.625,36.5,47.75
20.938,54.25,24.375,44.75,61.875,30,66.5,20,50.25,40.125
19.063,49.75,20,44.375,61.25,29.875,66.5,16.875,48,35.375
41.422,42.75,15.25,45.125,62.25,17.75,67.25,22.25,48.75,54.125
48.672,37.375,15.125,43.875,56.875,16.75,65.125,24,48.125,57.375
59.25,31.75,16.375,40.625,40.875,17.75,61.125,27.25,44.75,56.875
28.219,50.875,20.625,43.375,88.5,28.375,66.75,22,44.75,43.875
45.5,39,17.5,54.5,48.25,24.375,80.75,27.625,40,46.25
37.078,56.625,20.875,49.875,72.75,23.375,77.625,24.375,47.375,54.875
38.5,54.875,19.25,51.375,68.75,21.125,80.75,23.375,46.875,53.75
52,33.75,14,44.625,47.875,17.5,64.75,25.375,51,58
48.578,37.25,15.5,42,57,15.625,65.375,22.25,51,56.625
21.281,52.75,19,46.125,62.25,28.75,69.75,18.375,47.375,38.75
28.828,54.25,23.625,44.375,77.25,35,71.625,22,44.875,41.625
52,26.875,15.75,35.75,43.5,15,61.25,26.5,40.375,51.25
48.328,37.25,15.375,42.75,56.375,17.125,65,22.875,48.375,56.5
20.5,53.625,22,42.875,64.25,28.375,66.625,18.375,45.125,39.125
53.5,28.25,16.25,38.625,44,14.625,60.75,27,41.875,56.875
46.875,38.75,16.75,59.75,51.25,23,82.375,27.25,40,44.125
59.125,32,18,42.375,38.125,18.25,61.875,27.625,45.625,57.5
28.828,53.625,21.875,45,90.375,26.75,66.375,21,43.375,43.5
38.828,40,13.125,40.75,51.375,18.375,65.375,22.375,46.5,50
28.328,52.625,22.5,42.875,78.125,34.5,70.5,20.625,42.25,40.875
26.438,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625,43.875
27.781,49.875,20,43.875,89,27.375,68.25,21.75,45.125,43.875
35,58.25,22.375,45.125,79.375,25.375,71.375,22,46,51.125
21.563,58.5,23.875,47.875,63.625,31.625,69.125,21.5,51,41.875
51,34.25,14.25,43.875,44.875,17.5,64.375,25.375,50,57.125
41.672,37.25,12.875,40.25,54.875,17.625,60.75,21,47.75,49.5
44.875,26.125,19.625,47.875,43.25,18.5,68,27.25,35,49.125
41.5,39.75,13.25,40.75,50.875,17.625,64.125,22.25,48.25,50
54,29,15.875,38.25,44.5,15.125,63.875,26.75,42,56.125
27.172,51.375,19.875,40.375,80,26.625,67.125,21.625,41.75,41.375
28.828,52,22.75,43.75,75,33.125,72.25,20.375,44.125,41.125
42.078,39.375,13,39.625,52.5,17.5,64.125,22.125,47.625,50.75
48.828,37.5,15.125,43.375,56,16.375,65.5,23.625,48.75,57.625
26.219,53.25,22.75,44.125,64.25,30.375,65.125,21,47.5,37.25
26.891,51.75,21.5,40.875,64.875,30.5,68,20.75,44.625,37.625
57.578,35.375,15.75,43.125,46.125,17.75,62.5,27.375,50,60
39.672,44.125,17.125,39.5,68.25,17.625,68.625,21.375,45.875,50.625
21.563,55,21.125,46.625,62.75,29.875,68.125,20,51.5,42
26.781,50.75,21.625,40.5,65.875,30.375,69.375,21.375,43.875,39.25
24.609,54.5,20.5,42.875,61.25,29.625,64.75,19.75,47.875,39.875
28.109,50.875,20,42.625,86,26.5,70.5,21.625,44.125,44.875
47.75,31.125,15.25,54.125,40.75,28,81,26.25,39.625,47.75
35.719,57.375,22.25,45.5,79.625,24.75,71.25,22.375,45.5,51.375
36.078,56.875,20.5,49.75,72.75,23.75,78.5,24.25,46.875,55.5
61.125,31.75,16.375,40.75,43.625,18.125,62.5,27.5,48.125,58.25
26.609,50.875,20.125,40.25,82.25,26.5,67.125,21.625,42.5,43.875
48.25,39.875,17.625,58.375,56.375,25.25,85,27.75,43.25,47.375
35.063,57.75,21.5,45.875,78.625,25.875,71.125,22.125,45.75,51.5
45.875,37.25,15.875,54.5,47.75,24,80,27.5,39.25,45.75
42,46.125,16,45.25,63.375,18,70,23.375,51.25,54.875
46.75,44,19.625,56.625,53.25,29.25,82.875,26.25,44.875,45.875
39.328,43.25,17.125,40.125,67.75,16.375,68.5,21.125,45.25,52.125
51,27,17.5,52,43.875,23.125,76,27.5,41.5,49
44.25,23.375,17.875,42.875,43.375,17,69.5,26.875,34.125,44.625
47.75,38.875,17.75,56.25,53,26.25,81.125,26.375,41.625,45.25
39.5,40.625,13.25,41.125,50.375,18.125,66,23,47.875,49.875
27.391,51.125,20.75,42.5,76.5,33,68,18.875,40.75,39.125
47.875,26.375,15,34.5,40.75,16.125,61.375,23,38.5,50
42.578,37.25,13.875,39.375,54.5,16.125,61.25,21.625,49.5,51.125
47.125,40,17.375,56.5,49.125,22.875,81.125,25.875,39.875,45.25
43.625,43.375,19.125,57.375,54,29.75,83.5,26.125,45.125,48
44.672,37.5,14.375,43.75,57.25,17.125,61.75,21.625,50.25,54.375
43.25,38,13.75,38.75,54.5,16.25,61,21.5,50.5,51.75
49.5,24.375,14.875,46.875,40.875,26,75.5,27.625,41.125,49.5
48.578,37.75,15.5,42.5,56.5,16.25,65.375,22.25,50.25,56.5
28.609,50.75,22.375,42.625,73.25,32.875,72.875,21.875,45.875,40.75
36.328,52.25,18.75,48.5,67.875,19.625,80.375,24.75,46.5,52.125
35.672,59.125,20.125,49.375,73.25,25.5,79.5,23,48,55
45.25,44,18.375,57.25,59,28.625,83.5,27.125,44.25,46.75
26.172,50.75,19.375,40,74.5,25.75,68.375,21,41.125,40.375
48.578,38.5,16.375,43.125,56,15,63.625,22.5,51,57
20.938,54.75,21.875,42.875,64.75,28.375,66.25,18.875,43.5,40.125
49.375,40.5,19.5,51.875,55.875,21.75,81.5,26.75,42.375,47
24.5,53.25,20,43,59.75,29.375,62,19.375,47,38
41.422,36.25,13.5,39.75,52.875,17.875,60.625,21.5,47.875,50.875
47.875,26.25,16,48.5,41.5,25,75,26.25,40.375,47.875
57.375,33.5,16.5,43.25,34.5,18.875,62.5,26.875,48.625,58
19.063,50.5,19.125,43.875,61.875,29.625,66.875,17.75,47.375,36
48.5,20.75,14.625,39.25,50.25,16.25,67.375,25,31.875,48.25
48.078,37.875,15.625,43.5,56.5,17,64.875,22.5,49.375,57.125
45.375,40.875,18.125,55.625,52.625,25.875,80.25,27.125,41.5,44.625
35.781,57.25,21.125,46.125,78.875,26.125,70.75,22,44.25,51.625
26.281,53.375,22.625,43.625,65,32.25,66,21.125,48.75,38.125
46.125,25.375,19.5,45,42.25,19.25,68.75,27.625,37.5,47.125
21.328,54.875,21,42.5,63.875,28.75,66.75,18.25,43.25,38.875
36.422,52.25,18.875,49.125,66.5,20.25,80.5,25.25,46.875,51.625
48.25,38.125,15.375,43.375,56.5,16.75,64.75,22.25,49.75,56.5
60.25,31.625,15.5,41.625,41.25,18,62.625,28.125,46.875,62
45,23.375,17.75,42.25,42.25,17.25,68.375,26.875,33.125,46.625
20,50.25,18.125,44,60.75,30,67,16.75,49,37
48.25,25.25,14.5,34.5,41.375,16.75,61,23.375,38.25,49.625
44.625,23,17.375,42.5,49.375,17.125,67.75,26.125,34.375,45
37,57.25,21.125,49.75,73,23.625,79,24.5,47.125,55.5
25.828,52.75,21.625,44,64,29,65.625,20.375,47.5,38.25
