@relation STP
@attribute att0 real[17.219,61.5]
@attribute att1 real[19.25,60.25]
@attribute att2 real[12.75,25.125]
@attribute att3 real[34.375,60.125]
@attribute att4 real[27.75,94.125]
@attribute att5 real[14.125,35.25]
@attribute att6 real[58,87.25]
@attribute att7 real[16.375,29.25]
@attribute att8 real[31.5,53]
@attribute output real[34,62]
@data
39.25,57.625,21.125,50.625,72.625,23.25,78.75,24.125,47.25,55.625
26.063,49.625,21.25,39.25,63,29.5,64.5,19.875,42.125,35.25
36,57.625,22,45.5,79.5,25.125,71.375,22.25,44.75,51.25
36.609,56.75,20.875,45.625,78.625,26.125,69.625,22.25,43.75,51.5
46.625,33.25,15.875,55.125,42.75,27.625,82,27.75,40.75,47.625
20.891,52.75,19.25,45.25,62,29.5,68.375,18,46.75,37
39.172,44,17.25,39.5,67,16.625,68.625,20.875,45.5,52.75
24.109,52.75,20.75,41.25,61,29,63.625,19.25,45.875,38.25
26.5,52.25,21.125,41.25,64.875,30.875,66.25,20.875,45.5,37
46.75,39.25,16.75,59.25,51.375,22.75,82.125,27,39.875,44
45.25,44,19.5,56.75,56.375,29,84.75,27,44.75,47
49,47,19.5,49.5,60.875,22.75,75.625,25.5,40.5,43.375
41.922,36.75,13.25,39.75,54.5,17.5,62.125,21.625,47.375,51.125
23.828,53.625,19.875,41.875,60.5,28.625,62.5,18.75,45,36.625
28.281,50.875,21.25,41.875,78,31.625,70.75,21,42.75,40.625
37.578,52.25,18.75,48.5,68.625,19.25,80.5,23.5,46.875,53.375
30.781,54,22.125,45.875,92.625,28.125,69,22.5,45.25,45.25
56.5,35,15.875,42.875,45.75,17.75,62.25,27.375,50,59.25
39,58.25,20.625,52.5,71.5,21.625,83.625,24.625,47.875,56.25
45.5,42.25,17.875,56.625,57,27.125,81.75,26.75,42.25,45.375
38.672,57.125,20.875,50.375,72.125,23,78.5,23.75,47,55.625
45.625,41.625,17.5,55.625,50,25,79.625,26.875,41.375,44.875
50.125,47,19.875,50.75,62.75,22.875,74.5,25.25,40.625,43.875
44,44.5,19.125,58.5,51.5,29.75,84.25,26.75,45.125,48
28.938,52.875,21.625,44.625,89.75,29.375,68,21.875,44.75,44.875
38.328,57.25,20.875,50.75,72.125,22.625,78.625,23.875,46.875,55.625
46.5,22.625,17,41.875,50.875,16,70.5,24.875,34.875,44.375
21.063,52.5,19.125,47.25,62.25,29.875,68.875,18.125,47.25,37.375
27.172,50.875,20.125,40.375,76,27.25,69.75,21.5,43.375,41.125
45.75,41.875,17.875,55.875,50.375,25.375,80,27.875,42.125,44.5
41,43.5,17.125,40.125,63.125,17.375,66,20.875,46.625,52.625
26.563,50.875,19.5,39.75,74.875,25.5,68.375,21.125,41.375,40.125
27.5,50.75,20.25,43.125,87.375,28,67.25,21.5,44.75,43.75
34.078,60,22.25,47,77.75,26.875,76.5,22.25,47.875,53.25
25.063,55,21.125,44.75,63.25,29.875,65.75,20.875,47.25,39.875
42.5,26.875,15.25,34.625,41.25,16.375,62.375,21.5,36.375,46.875
25.219,55.25,21.25,45,63.5,30.25,66.5,21.125,47.375,39.75
52.625,27,15.75,36.5,43.75,14.75,62,26,40.25,51.625
49,39,17.75,57,54.625,25.875,83,26.375,41.875,45.875
26.5,50.875,20.5,39,63.125,29.875,65.375,19.75,43.125,36.5
46.875,28.125,19.375,52.75,37.25,19.875,74.5,28,39.25,45.5
38.922,58.375,20.375,52.5,71,21.625,84.25,24.75,48.375,56.375
44.75,38,14.375,42.75,56.625,17.625,61.875,21.625,50.5,53.625
46,44.125,19.75,57,53.375,29,84.625,26.875,45,45.875
46.5,43.75,19.5,56.625,53.75,29.375,83,27,44.5,45.875
45.75,40.25,17.5,55.25,50.25,25.25,80,27.125,42.25,44.75
48.125,39.875,17.125,57.75,55.125,25.125,85.25,27.625,42.5,47
44.25,23.75,16.75,39.875,50.125,14.875,69.5,24.375,32.25,43.875
44,25.25,16.375,38,48.875,16.5,63.625,25.5,39,47.75
38.5,43.125,17,38.5,67.625,16.375,68.5,21,44.5,51.625
27.109,50.75,20.125,42.375,86.375,27.75,66.5,21.125,44.375,42.75
20.438,54.125,22,43.75,63.875,28.5,66.5,18.125,45.25,39.875
40,41.375,14.875,42.625,62.75,18,68,23.375,48.75,51.625
52,29.75,15.125,37,42.375,15.375,62,25.5,40.5,51.875
46.578,36.625,13.625,40.75,51,16,64,24,46.75,55.75
39.5,54,19.375,49.5,68.5,21.75,80.875,23.5,47,53.75
37.672,57.75,20.25,51.25,72.25,24,80,24,47.625,56.875
27.328,51.25,21.875,40.625,65.25,30.25,69.625,21.125,43.875,38.375
33.719,55.875,20.5,45.25,84.75,26.875,69.875,22.125,44.875,52
46.672,36.25,13.625,41.25,51.125,15.75,63.375,24.25,47.125,55.625
45.875,38.375,17.5,54.875,47.25,24,81.25,27.125,40.75,45.75
32.891,56.375,20.25,45.25,84.125,26.625,69.375,21.875,45.25,48.875
47.125,30.125,21.125,49.5,36.5,20.375,75.875,27.75,38.125,44.125
47.422,37.125,15.5,41.875,56,16,63.875,21.875,50.75,56.75
41,36.625,13.625,39.375,55.125,17,62.25,21.125,46.875,49.875
26.063,49.875,20.75,40,62.625,29.625,64.75,19.625,41,36.375
48,37.25,15.75,42,57.125,15,65.125,22.125,50.875,56.75
48.5,26.125,15.375,35.125,43.75,15.125,60,22.875,39.5,49.75
55.922,35.875,16.125,43,45.75,17.875,63.375,27.625,49.875,59.25
46.375,22.625,17.25,41,51.75,16.125,70.125,26.375,35.125,45.5
35.5,57.75,20.125,48.75,73.875,25.625,78.875,22.875,48.5,54.125
47.25,25.25,14.875,35.125,45.5,16.5,63.125,24,38.5,50
58.125,34.5,15.875,45.625,39.5,19.75,64.75,27.5,49.125,59.75
27.172,50.25,20,42,86.75,27.5,66.625,21,44.875,43.375
42.328,37,13.25,39.75,53.75,17.625,62.875,22,46.875,51.875
28.891,54,23.125,43.625,79,35.125,72.125,21.625,44,41.25
21,54.125,24,45.875,64.25,31.5,65.625,19.75,48.75,39.375
39,57.375,21,50.625,72.625,23.25,79.125,24.25,47.625,55.625
24.438,52.875,20,42.375,59.625,29,63.125,19.375,46.625,38
33.422,58.125,19.875,47.625,73,25.5,77.875,22.75,48.375,54.25
45.875,25,19.5,43.75,40.25,19,70,27.75,37.25,47.25
46.75,39.625,16,56.875,49.625,22.75,82.375,27.125,40,43.875
41,45.375,16.125,44.25,61.75,18,69.75,24.25,49.875,55.5
49.25,24.5,14.5,46.5,41,25.75,75.25,27.5,40.75,49
24.281,54,21.5,44.25,62.375,29.125,65.5,20.375,47.625,38.375
37.5,52.5,18.375,48.875,68.625,19.75,80.75,24.25,46.875,53.375
40.875,24.125,15.375,38,46.625,15.75,66.5,24.5,37.375,43.875
44.25,21.375,19.875,45.375,28.75,18.125,69.75,24.25,36,43.625
19.063,50.25,18.375,43.5,60.375,29.125,65.75,16.375,47.875,36.625
48.828,37.375,16.125,42.5,55.875,15,64.5,22.5,51.25,56.875
34.75,58.75,22.25,46,71.375,25.5,75.5,22.375,48.25,54.375
57.75,26.75,15.75,38.125,43.375,14.375,58.375,26.625,43.75,59.25
44.75,25,18.375,43.375,38,17.375,67.875,26.625,35.5,47.125
30.5,53.875,21.375,44.625,91.875,27.25,69,22,45.125,46.5
51.922,34.625,14.75,43.125,45.375,18.125,64.75,25.875,49.75,56.75
29.938,53.625,22,45,91.125,27.125,67,20.875,44,44.5
47,38.5,16.125,55.875,51.375,22.5,80.25,26.25,39.75,45.375
39,46.25,15.25,41.25,60.25,17.375,67.25,21.625,48.375,52
51.125,26.5,16.625,50.375,40.125,25.125,76,29.25,38.375,49.375
47,37.25,14,41.375,55.125,16.875,65.375,24,46.875,56.125
36.172,58,20,51.125,70.75,24.125,80,23.5,47.875,54.625
33.578,57.625,21.375,45.5,78.625,26.5,74.25,22.125,45.125,51.375
48.625,42.375,19.125,57.75,51.125,29.875,85.375,26.625,43.875,48.375
