@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.295, 0.354, 88, 188, 41, 11, 9, 69, 57, 86, 53, 15, 0, 0, 1, 0, 2983
0.317, 0.355, 69, 158, 27, 11, 4, 62, 34, 19, 8, 3, 1, 0, 0, 0, 2387
0.285, 0.321, 67, 140, 23, 2, 19, 80, 26, 40, 0, 3, 0, 0, 1, 0, 1300
0.294, 0.387, 79, 163, 26, 4, 15, 82, 75, 116, 7, 12, 0, 0, 0, 0, 350
0.301, 0.354, 91, 175, 35, 3, 26, 88, 44, 79, 19, 12, 0, 0, 1, 0, 2750
0.262, 0.319, 44, 121, 20, 7, 4, 50, 40, 49, 9, 10, 0, 0, 0, 0, 935
0.247, 0.286, 16, 44, 13, 0, 2, 22, 9, 38, 0, 7, 0, 0, 0, 0, 162
0.217, 0.319, 41, 74, 16, 0, 12, 44, 51, 77, 9, 9, 1, 1, 0, 0, 687
0.216, 0.265, 21, 58, 11, 0, 11, 41, 18, 53, 0, 11, 0, 0, 0, 0, 260
0.28, 0.359, 51, 101, 12, 2, 6, 35, 46, 39, 5, 7, 1, 0, 0, 0, 2833
0.221, 0.283, 23, 51, 8, 4, 1, 12, 20, 33, 3, 11, 0, 0, 1, 0, 1533
