@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.285, 0.331, 84, 170, 28, 10, 8, 54, 42, 65, 34, 5, 0, 0, 1, 0, 1210
0.24, 0.306, 14, 31, 7, 1, 2, 14, 12, 25, 0, 0, 0, 0, 0, 0, 140
0.27, 0.33, 96, 164, 32, 8, 16, 67, 52, 99, 10, 24, 0, 0, 1, 1, 875
0.225, 0.271, 16, 40, 9, 0, 0, 19, 9, 22, 1, 4, 0, 0, 0, 0, 360
0.296, 0.352, 92, 179, 28, 8, 2, 50, 52, 74, 48, 5, 0, 0, 1, 1, 1650
0.264, 0.27, 24, 74, 16, 0, 3, 27, 5, 42, 0, 10, 0, 0, 0, 0, 140
0.261, 0.347, 102, 163, 25, 0, 44, 133, 78, 151, 0, 8, 1, 0, 0, 0, 4500
0.256, 0.346, 71, 136, 36, 0, 28, 91, 73, 107, 12, 2, 0, 0, 1, 0, 2833
0.318, 0.453, 104, 178, 31, 2, 32, 109, 138, 112, 1, 2, 0, 0, 0, 0, 620
0.277, 0.32, 24, 51, 9, 0, 2, 13, 11, 42, 15, 4, 0, 0, 0, 0, 287
0.275, 0.361, 17, 44, 7, 0, 4, 20, 19, 43, 0, 14, 0, 0, 0, 0, 117
0.238, 0.347, 83, 134, 15, 4, 10, 51, 95, 151, 56, 27, 0, 0, 0, 0, 302
0.243, 0.304, 36, 83, 15, 0, 11, 31, 29, 61, 0, 1, 0, 0, 0, 0, 175
0.216, 0.341, 37, 61, 7, 5, 0, 19, 54, 91, 29, 6, 1, 0, 0, 0, 109
0.255, 0.321, 39, 108, 22, 8, 3, 26, 42, 61, 2, 8, 0, 0, 1, 0, 1190
0.213, 0.222, 4, 13, 4, 1, 1, 8, 1, 18, 0, 0, 0, 0, 0, 0, 111
0.22, 0.333, 69, 110, 14, 1, 23, 63, 83, 128, 5, 6, 0, 0, 0, 0, 255
0.258, 0.295, 38, 94, 14, 1, 3, 20, 14, 26, 4, 11, 0, 0, 0, 0, 190
0.28, 0.336, 41, 77, 22, 1, 4, 23, 23, 44, 14, 10, 0, 0, 0, 0, 575
0.234, 0.274, 41, 104, 18, 3, 0, 29, 24, 107, 7, 19, 0, 0, 1, 0, 1000
0.228, 0.295, 26, 84, 16, 0, 10, 47, 31, 90, 2, 2, 0, 0, 0, 0, 200
0.294, 0.367, 84, 158, 27, 6, 21, 92, 67, 100, 7, 3, 1, 0, 0, 0, 2350
0.23, 0.336, 40, 59, 12, 3, 2, 27, 36, 44, 12, 3, 0, 0, 0, 0, 365
0.246, 0.358, 41, 55, 5, 3, 1, 15, 36, 30, 13, 0, 0, 0, 0, 0, 145
0.247, 0.343, 67, 119, 15, 4, 12, 49, 67, 84, 6, 12, 1, 1, 0, 0, 1950
0.243, 0.297, 46, 99, 18, 7, 9, 45, 30, 85, 4, 7, 0, 0, 0, 0, 333
0.297, 0.371, 81, 119, 10, 1, 0, 26, 47, 40, 72, 3, 1, 1, 0, 0, 2785
0.258, 0.288, 46, 86, 7, 4, 12, 40, 12, 57, 5, 9, 1, 1, 0, 0, 2000
0.284, 0.371, 87, 160, 28, 4, 17, 72, 79, 95, 10, 8, 1, 0, 0, 0, 1567
0.216, 0.285, 38, 87, 12, 0, 19, 51, 35, 117, 0, 2, 1, 0, 0, 0, 109
0.238, 0.289, 21, 56, 5, 1, 0, 21, 14, 37, 3, 11, 0, 0, 0, 0, 185
0.179, 0.314, 64, 60, 14, 2, 25, 64, 89, 175, 1, 7, 1, 0, 0, 0, 2017
0.278, 0.377, 76, 113, 17, 2, 17, 49, 58, 70, 1, 0, 1, 1, 0, 0, 950
0.278, 0.321, 57, 135, 22, 1, 5, 43, 28, 45, 6, 1, 1, 0, 0, 0, 1300
0.295, 0.363, 19, 65, 17, 1, 1, 29, 21, 32, 1, 5, 1, 0, 0, 0, 1192
0.264, 0.325, 51, 92, 10, 6, 0, 18, 30, 31, 21, 4, 0, 0, 0, 0, 650
0.273, 0.344, 23, 51, 11, 2, 4, 23, 19, 34, 9, 1, 0, 0, 0, 0, 367
0.237, 0.351, 23, 46, 10, 1, 7, 29, 35, 40, 1, 1, 1, 1, 0, 0, 375
0.34, 0.381, 15, 36, 7, 0, 0, 7, 7, 17, 3, 6, 0, 0, 0, 0, 113
0.2, 0.258, 11, 23, 7, 0, 1, 13, 8, 34, 1, 3, 0, 0, 0, 0, 170
0.214, 0.29, 38, 72, 12, 1, 11, 38, 36, 92, 1, 3, 1, 1, 0, 0, 800
0.23, 0.302, 42, 98, 16, 4, 1, 41, 45, 37, 7, 13, 0, 0, 0, 0, 360
0.262, 0.307, 30, 111, 13, 2, 0, 31, 26, 27, 5, 12, 0, 0, 1, 0, 950
0.274, 0.304, 72, 161, 14, 13, 0, 49, 26, 58, 26, 2, 0, 0, 0, 0, 565
0.284, 0.31, 22, 73, 14, 0, 5, 30, 10, 43, 3, 8, 0, 0, 0, 0, 200
0.258, 0.395, 6, 8, 1, 0, 1, 6, 7, 11, 0, 0, 0, 0, 0, 0, 109
0.277, 0.33, 34, 74, 18, 2, 13, 41, 17, 52, 1, 3, 0, 0, 1, 0, 740
0.275, 0.377, 67, 109, 25, 1, 21, 87, 65, 81, 8, 7, 0, 0, 0, 0, 555
0.203, 0.313, 7, 14, 4, 0, 0, 3, 10, 17, 0, 1, 0, 0, 0, 0, 130
0.302, 0.391, 102, 174, 44, 6, 18, 100, 90, 67, 2, 15, 1, 1, 0, 0, 6100
0.353, 0.435, 16, 48, 12, 2, 2, 18, 20, 22, 0, 5, 0, 0, 0, 0, 129
0.252, 0.301, 15, 35, 5, 1, 5, 22, 10, 23, 1, 0, 0, 0, 1, 0, 425
0.252, 0.283, 44, 136, 18, 4, 9, 44, 25, 84, 11, 21, 1, 1, 0, 0, 600
0.195, 0.345, 10, 22, 2, 0, 0, 3, 25, 32, 3, 10, 0, 0, 0, 0, 135
0.25, 0.342, 37, 72, 15, 0, 12, 48, 36, 76, 4, 2, 1, 0, 0, 0, 1375
0.275, 0.351, 40, 70, 16, 4, 4, 21, 30, 42, 15, 3, 1, 1, 0, 0, 935
0.238, 0.273, 31, 104, 16, 2, 5, 41, 18, 61, 3, 0, 0, 0, 1, 0, 850
0.272, 0.326, 41, 116, 12, 1, 8, 70, 37, 46, 4, 16, 1, 1, 0, 0, 2425
0.286, 0.378, 35, 57, 7, 2, 5, 20, 30, 35, 5, 7, 0, 0, 0, 0, 175
0.262, 0.283, 7, 38, 5, 0, 0, 10, 5, 18, 2, 7, 0, 0, 0, 0, 177
0.248, 0.32, 57, 93, 20, 0, 9, 55, 37, 39, 11, 9, 1, 0, 0, 0, 2400
0.226, 0.286, 15, 30, 8, 1, 0, 13, 12, 14, 0, 5, 0, 0, 1, 0, 760
0.269, 0.303, 32, 58, 12, 1, 13, 33, 11, 51, 1, 2, 0, 0, 0, 0, 140
0.288, 0.366, 24, 47, 7, 0, 7, 24, 18, 23, 2, 3, 0, 0, 0, 0, 525
0.208, 0.265, 12, 35, 11, 1, 0, 15, 14, 30, 2, 6, 0, 0, 0, 0, 365
0.29, 0.349, 59, 141, 30, 2, 16, 64, 42, 102, 14, 6, 1, 0, 0, 0, 990
0.225, 0.312, 37, 64, 12, 0, 17, 48, 36, 80, 1, 0, 1, 0, 0, 0, 2167
