@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.271, 0.328, 74, 161, 22, 6, 12, 58, 49, 133, 23, 17, 1, 1, 0, 0, 109
0.264, 0.318, 24, 48, 7, 0, 1, 22, 15, 18, 0, 7, 0, 0, 0, 0, 160
0.251, 0.338, 101, 141, 35, 3, 32, 105, 71, 104, 34, 6, 0, 0, 1, 0, 2700
0.224, 0.274, 28, 94, 21, 1, 1, 44, 27, 54, 2, 7, 1, 1, 0, 0, 550
0.206, 0.262, 14, 51, 18, 1, 1, 28, 17, 26, 0, 3, 1, 1, 0, 0, 300
0.238, 0.272, 53, 106, 18, 3, 15, 59, 22, 107, 14, 7, 0, 0, 0, 0, 230
0.115, 0.148, 0, 3, 1, 0, 0, 2, 1, 6, 0, 3, 0, 0, 0, 0, 109
0.307, 0.405, 98, 167, 35, 1, 14, 52, 84, 72, 0, 15, 0, 0, 0, 0, 560
0.187, 0.281, 38, 50, 9, 2, 15, 37, 32, 98, 0, 9, 0, 0, 0, 0, 142
0.266, 0.359, 115, 152, 32, 1, 44, 122, 78, 152, 26, 9, 1, 0, 0, 0, 4300
0.235, 0.353, 39, 67, 10, 0, 11, 33, 48, 92, 14, 3, 1, 0, 0, 0, 3600
0.262, 0.312, 45, 116, 25, 3, 4, 41, 26, 55, 11, 5, 0, 0, 1, 0, 1650
0.213, 0.312, 36, 57, 8, 3, 2, 26, 39, 32, 8, 15, 0, 0, 0, 0, 183
0.285, 0.38, 96, 157, 30, 3, 3, 50, 83, 36, 35, 8, 1, 0, 0, 0, 2000
0.312, 0.357, 67, 155, 30, 3, 4, 43, 34, 74, 17, 6, 1, 0, 0, 0, 3563
0.225, 0.333, 71, 8, 16, 4, 0, 3, 14, 12, 25, 0, 0, 0, 1, 0, 109
0.283, 0.327, 15, 39, 7, 1, 7, 26, 9, 31, 3, 1, 0, 0, 0, 0, 155
0.247, 0.306, 65, 114, 14, 9, 6, 52, 36, 60, 15, 3, 1, 1, 0, 0, 1050
0.233, 0.326, 45, 74, 16, 0, 23, 61, 41, 99, 0, 0, 0, 0, 0, 0, 687
0.231, 0.291, 45, 107, 23, 2, 5, 48, 37, 53, 8, 5, 1, 0, 0, 0, 2400
0.259, 0.349, 108, 146, 34, 4, 38, 117, 78, 120, 30, 31, 1, 0, 0, 0, 2319
0.311, 0.361, 64, 125, 15, 6, 1, 57, 33, 38, 16, 1, 0, 0, 0, 0, 395
0.26, 0.313, 82, 158, 27, 10, 19, 59, 47, 115, 16, 3, 1, 0, 0, 0, 1025
0.211, 0.274, 5, 12, 2, 0, 0, 3, 3, 2, 0, 4, 0, 0, 0, 0, 135
0.282, 0.342, 110, 181, 40, 10, 17, 60, 55, 135, 33, 1, 1, 0, 0, 0, 2383
0.295, 0.358, 79, 161, 23, 4, 4, 46, 53, 71, 19, 11, 0, 0, 1, 0, 1458
0.262, 0.352, 74, 129, 24, 5, 19, 48, 63, 95, 14, 11, 1, 0, 0, 0, 1600
0.251, 0.314, 56, 119, 33, 3, 14, 56, 39, 81, 6, 2, 1, 0, 0, 0, 2300
0.291, 0.341, 19, 37, 5, 0, 2, 11, 10, 25, 2, 2, 0, 0, 0, 0, 120
0.263, 0.271, 10, 30, 8, 0, 0, 9, 1, 16, 0, 3, 0, 0, 0, 0, 350
0.249, 0.296, 36, 88, 9, 2, 0, 27, 22, 63, 3, 18, 0, 0, 1, 0, 500
0.241, 0.299, 42, 111, 25, 0, 18, 74, 32, 86, 1, 6, 1, 1, 0, 0, 1350
0.259, 0.358, 71, 106, 22, 5, 18, 66, 62, 86, 0, 6, 1, 1, 0, 0, 2500
0.241, 0.313, 37, 55, 2, 3, 0, 18, 20, 21, 11, 10, 0, 0, 0, 0, 235
0.238, 0.336, 43, 76, 19, 4, 3, 34, 48, 57, 10, 5, 0, 0, 0, 0, 125
0.278, 0.355, 24, 60, 11, 2, 2, 20, 25, 24, 1, 4, 0, 0, 1, 0, 587
0.216, 0.316, 28, 58, 7, 2, 5, 28, 39, 33, 14, 1, 0, 0, 0, 0, 135
0.265, 0.31, 52, 108, 23, 3, 8, 42, 26, 72, 11, 9, 0, 0, 1, 0, 1933
0.295, 0.383, 76, 144, 25, 1, 20, 90, 72, 67, 0, 1, 1, 0, 0, 0, 1583
0.258, 0.381, 58, 108, 23, 0, 4, 51, 83, 50, 1, 5, 1, 0, 0, 0, 1394
0.249, 0.313, 38, 81, 11, 4, 1, 20, 29, 45, 13, 6, 0, 0, 0, 0, 180
0.319, 0.363, 94, 187, 34, 8, 22, 86, 43, 70, 10, 24, 1, 0, 0, 0, 3150
0.217, 0.25, 4, 5, 0, 0, 0, 0, 1, 7, 1, 1, 0, 0, 0, 0, 120
0.323, 0.374, 99, 210, 46, 5, 34, 114, 53, 46, 6, 11, 1, 0, 0, 0, 2100
0.26, 0.321, 69, 150, 23, 1, 19, 96, 55, 74, 10, 7, 1, 1, 0, 0, 4125
0.225, 0.33, 7, 20, 2, 0, 0, 5, 14, 19, 1, 2, 0, 0, 0, 0, 120
0.243, 0.27, 27, 61, 13, 2, 9, 36, 9, 74, 4, 18, 0, 0, 0, 0, 139
0.269, 0.335, 58, 111, 17, 2, 18, 66, 39, 69, 0, 3, 1, 1, 0, 0, 2600
0.26, 0.293, 18, 66, 6, 0, 4, 21, 12, 26, 2, 3, 1, 0, 0, 0, 355
0.194, 0.27, 8, 28, 3, 2, 1, 11, 16, 23, 1, 1, 0, 0, 0, 0, 215
0.251, 0.296, 32, 68, 16, 1, 12, 50, 17, 48, 0, 8, 0, 0, 0, 0, 146
0.243, 0.308, 13, 26, 7, 2, 2, 8, 9, 27, 1, 1, 0, 0, 0, 0, 114
0.31, 0.363, 79, 137, 27, 8, 18, 74, 34, 79, 13, 7, 0, 0, 1, 0, 1075
0.223, 0.307, 43, 84, 10, 4, 10, 40, 36, 56, 7, 4, 1, 0, 0, 0, 2000
0.319, 0.352, 92, 195, 29, 6, 15, 89, 31, 78, 11, 6, 1, 0, 0, 0, 2992
0.304, 0.345, 85, 198, 38, 2, 10, 56, 41, 38, 31, 10, 1, 0, 0, 0, 3575
0.249, 0.374, 75, 120, 18, 1, 26, 87, 96, 133, 0, 0, 1, 0, 0, 0, 2900
0.275, 0.377, 58, 97, 19, 1, 7, 44, 50, 64, 9, 5, 1, 0, 0, 0, 1750
0.265, 0.355, 87, 130, 24, 7, 17, 83, 71, 85, 10, 1, 1, 0, 0, 0, 4450
0.264, 0.353, 39, 91, 16, 2, 8, 40, 47, 32, 4, 7, 1, 0, 0, 0, 2183
0.327, 0.399, 76, 179, 42, 1, 22, 100, 71, 82, 18, 4, 0, 0, 1, 0, 2050
0.246, 0.267, 5, 14, 2, 0, 0, 9, 1, 9, 2, 2, 0, 0, 0, 0, 120
0.278, 0.316, 15, 59, 7, 0, 2, 22, 12, 19, 1, 3, 0, 0, 0, 0, 150
0.261, 0.321, 16, 53, 4, 0, 1, 17, 16, 28, 0, 6, 1, 0, 0, 0, 525
0.227, 0.28, 4, 5, 2, 0, 1, 3, 2, 1, 0, 0, 0, 0, 0, 0, 117
0.252, 0.309, 66, 137, 33, 1, 28, 81, 48, 93, 1, 5, 1, 0, 0, 0, 2500
0.25, 0.327, 40, 61, 11, 0, 1, 18, 24, 26, 14, 2, 0, 0, 0, 0, 240
