@relation baseball
@attribute Batting_average real [0.063,0.457]
@attribute On-base_percentage real [0.063,0.486]
@attribute Runs integer [0,133]
@attribute Hits integer [1,216]
@attribute Doubles integer [0,49]
@attribute Triples integer [0,15]
@attribute HomeRuns integer [0,44]
@attribute Runs_batted_in integer [0,133]
@attribute Walks integer [0,138]
@attribute Strike-Outs integer [1,175]
@attribute Stolen_bases integer [0,76]
@attribute Errors integer [0,31]
@attribute Free_agency_eligibility integer [0,1]
@attribute Free_agent integer [0,1]
@attribute Arbitration_eligibility integer [0,1]
@attribute Arbitration integer [0,1]
@attribute Salary integer [109,6100]
@inputs Batting_average, On-base_percentage, Runs, Hits, Doubles, Triples, HomeRuns, Runs_batted_in, Walks, Strike-Outs, Stolen_bases, Errors, Free_agency_eligibility, Free_agent, Arbitration_eligibility, Arbitration
@outputs Salary
@data
0.457, 0.486, 6, 16, 4, 2, 0, 7, 2, 2, 0, 2, 0, 0, 0, 0, 145
0.251, 0.315, 22, 58, 8, 0, 3, 31, 23, 42, 2, 6, 0, 0, 0, 0, 170
0.268, 0.4, 105, 126, 17, 1, 18, 57, 96, 73, 58, 8, 1, 0, 0, 0, 3250
0.274, 0.312, 50, 125, 31, 1, 6, 67, 22, 70, 2, 15, 0, 0, 1, 0, 2050
0.263, 0.387, 85, 132, 17, 2, 31, 89, 101, 131, 3, 6, 1, 0, 0, 0, 3358
0.238, 0.322, 48, 85, 11, 1, 16, 50, 44, 62, 3, 5, 1, 0, 0, 0, 2317
0.242, 0.288, 35, 72, 12, 4, 3, 23, 15, 52, 12, 18, 0, 0, 0, 0, 147
0.228, 0.238, 12, 36, 4, 1, 1, 11, 2, 26, 0, 2, 0, 0, 0, 0, 250
0.254, 0.32, 51, 120, 28, 9, 13, 69, 40, 101, 10, 5, 0, 0, 0, 0, 285
0.272, 0.338, 59, 132, 19, 2, 9, 62, 47, 38, 26, 17, 0, 0, 1, 0, 1150
0.235, 0.268, 9, 16, 5, 0, 2, 4, 3, 11, 3, 1, 0, 0, 0, 0, 115
0.12, 0.185, 0, 3, 0, 0, 0, 1, 2, 11, 0, 1, 0, 0, 0, 0, 109
0.234, 0.301, 13, 36, 5, 0, 6, 19, 16, 39, 0, 6, 0, 0, 1, 0, 1300
0.301, 0.359, 84, 170, 32, 7, 29, 116, 51, 91, 4, 4, 1, 0, 0, 0, 4275
0.279, 0.391, 94, 131, 26, 2, 23, 78, 90, 45, 4, 4, 1, 0, 0, 0, 2200
0.205, 0.272, 11, 23, 2, 0, 4, 9, 11, 24, 0, 2, 0, 0, 0, 0, 133
0.253, 0.313, 32, 67, 12, 0, 11, 45, 25, 31, 0, 3, 1, 0, 0, 0, 2400
0.269, 0.345, 4, 7, 2, 1, 0, 5, 3, 4, 0, 0, 0, 0, 1, 1, 125
0.279, 0.322, 36, 102, 20, 0, 6, 36, 21, 55, 1, 11, 1, 1, 0, 0, 1200
0.284, 0.367, 92, 172, 25, 1, 23, 100, 80, 67, 2, 18, 0, 0, 1, 0, 740
0.289, 0.351, 25, 97, 11, 2, 3, 41, 33, 27, 2, 1, 1, 1, 0, 0, 1850
0.218, 0.327, 26, 31, 3, 1, 1, 11, 24, 17, 16, 0, 0, 0, 0, 0, 395
0.272, 0.302, 69, 153, 21, 4, 31, 104, 22, 80, 4, 3, 1, 0, 0, 0, 3300
0.239, 0.328, 16, 26, 1, 1, 4, 18, 14, 15, 3, 2, 0, 0, 0, 0, 325
0.301, 0.333, 47, 113, 22, 3, 2, 47, 20, 35, 5, 5, 1, 1, 0, 0, 1650
0.325, 0.399, 133, 216, 32, 13, 17, 75, 77, 62, 19, 6, 1, 0, 0, 0, 3453
0.204, 0.255, 29, 42, 9, 0, 7, 18, 13, 49, 0, 4, 0, 0, 0, 0, 380
0.254, 0.332, 95, 160, 34, 6, 3, 57, 72, 63, 28, 18, 0, 0, 1, 0, 2167
0.291, 0.379, 104, 170, 32, 2, 26, 100, 87, 89, 22, 4, 1, 0, 0, 0, 2175
0.287, 0.349, 59, 123, 16, 1, 3, 38, 37, 32, 12, 20, 1, 0, 0, 0, 840
0.257, 0.335, 77, 122, 15, 7, 3, 33, 52, 92, 41, 6, 0, 0, 0, 0, 230
0.24, 0.3, 29, 58, 8, 4, 6, 36, 22, 34, 15, 5, 1, 0, 0, 0, 1167
0.26, 0.339, 21, 57, 12, 0, 4, 32, 26, 43, 2, 6, 0, 0, 0, 0, 155
0.283, 0.337, 71, 117, 13, 6, 8, 54, 34, 55, 14, 17, 0, 0, 0, 0, 750
0.24, 0.357, 37, 88, 11, 4, 1, 26, 67, 48, 1, 9, 1, 0, 0, 0, 2050
0.242, 0.284, 7, 23, 6, 0, 4, 23, 6, 20, 1, 3, 0, 0, 0, 0, 148
0.341, 0.408, 108, 201, 27, 3, 15, 78, 65, 78, 36, 14, 1, 0, 0, 0, 2387
0.175, 0.216, 14, 29, 4, 1, 3, 17, 9, 60, 0, 3, 1, 0, 0, 0, 940
