@relation delta_elv
@attribute climbRate real [-15.0, 15.1]
@attribute Altitude integer [-100, 90]
@attribute RollRate real [-0.0237, 0.0184]
@attribute curRoll real [-0.051, 0.049]
@attribute diffClb real [-0.8, 0.7]
@attribute diffDiffClb real [-0.03, 0.02]
@attribute Se real [-0.014, 0.013]
@inputs climbRate, Altitude, RollRate, curRoll, diffClb, diffDiffClb
@outputs Se
@data
-5.5, 0, -0.0035, 0.021, -0.2, 0.0, -0.0030
-1.2, -40, 0.0051, 0.01, -0.1, 0.01, -0.0010
-1.5, -10, -0.0064, -0.013, 0.2, 0.0, -0.0010
9.2, 10, 0.0038, -0.018, 0.0, 0.01, 0.0010
4.6, 40, 0.0086, -0.0080, 0.1, 0.0, 0.0010
7.7, 20, 0.0043, -0.0070, 0.1, 0.0, 0.0010
1.8, 20, 7.0E-4, -0.017, 0.1, 0.0, 0.0010
5.4, 20, 0.0047, 0.01, -0.1, 0.0, 0.0010
-0.3, 30, -0.0078, 0.0020, -0.1, 0.0, -0.0020
5.3, 50, 0.0072, -0.011, 0.1, 0.0, 0.0010
6.6, -20, -0.0015, -0.0030, 0.1, 0.0, 0.0010
-8.8, 40, -0.0042, 0.0090, 0.1, 0.0, -0.0010
-5.6, 70, 0.0052, 0.02, -0.2, 0.0, -0.0020
2.9, 0, -0.0021, -0.02, 0.2, 0.0, 0.0010
-1.4, -20, -0.0064, 0.0070, 0.0, 0.02, -0.0010
3.0, 0, 0.0051, -0.0050, -0.1, 0.0, 0.0020
0.4, -20, 0.0080, 0.026, -0.1, -0.01, -0.0010
-3.1, 0, 0.0044, 0.03, 0.0, 0.0, 0.0010
8.2, 0, 0.0, -0.0090, 0.1, 0.0, 0.0030
-2.9, 30, 0.0018, 0.03, -0.2, 0.0, -0.0030
-4.6, 0, -0.0021, -0.0080, -0.1, 0.0, -0.0010
6.2, -10, -0.0027, -0.0090, 0.1, 0.0, 0.0010
-1.6, 50, -0.0037, 0.016, -0.3, 0.0, -0.0020
-4.6, 0, -0.0014, 0.025, -0.1, 0.0, -0.0020
