@relation delta_elv
@attribute climbRate real [-15.0, 15.1]
@attribute Altitude integer [-100, 90]
@attribute RollRate real [-0.0237, 0.0184]
@attribute curRoll real [-0.051, 0.049]
@attribute diffClb real [-0.8, 0.7]
@attribute diffDiffClb real [-0.03, 0.02]
@attribute Se real [-0.014, 0.013]
@inputs climbRate, Altitude, RollRate, curRoll, diffClb, diffDiffClb
@outputs Se
@data
-5.9, -10, -0.0033, -0.0040, -0.1, 0.0, -0.0010
1.8, -70, -0.0069, -0.0080, 0.1, 0.0, 0.0010
1.0, -80, 0.0023, -0.0070, 0.3, 0.0, 0.0020
-4.6, 0, -0.0021, 0.0, -0.1, 0.0, -0.0010
-2.1, 10, -0.0028, 0.0070, -0.1, -0.01, -0.0020
1.7, 0, 0.0028, 0.0040, 0.1, 0.0, 0.0010
3.3, -20, 0.0014, -0.0020, 0.3, 0.0, 0.0020
6.4, -10, 0.0047, 0.0050, 0.1, 0.01, 0.0020
-7.1, -20, -0.0061, 0.0050, 0.0, 0.0, -0.0010
-1.3, -40, 0.0029, 0.017, 0.0, -0.01, 0.0010
4.9, -20, 0.0053, -0.0020, 0.0, 0.0, 0.0010
-1.2, -30, 0.0063, 0.014, 0.1, 0.0, 0.0010
6.2, -50, 2.0E-4, -0.014, 0.2, 0.0, 0.0010
8.8, -30, 0.0036, -0.01, 0.1, 0.0, 0.0010
6.4, 10, -1.0E-4, 0.0040, -0.1, 0.0, 0.0010
3.2, 60, 0.0010, 0.0020, -0.1, 0.0, 0.0010
-6.3, 50, -0.0028, -0.0050, -0.2, 0.0, -0.0020
-4.8, 50, -0.0037, 0.013, -0.2, 0.0, -0.0010
-1.2, 20, 0.0055, 0.013, 0.1, 0.0, 0.0010
4.2, 50, 0.0051, -0.0060, 0.0, 0.0, 0.0010
7.1, 20, 0.0036, -0.017, 0.0, 0.0, 0.0010
3.1, -10, -0.0016, -0.016, 0.1, 0.0, 0.0020
-1.6, 0, 0.0027, -0.013, -0.2, 0.0, -0.0040
4.3, 0, -9.0E-4, -0.0090, 0.0, 0.0, 0.0010
6.9, 20, 0.0025, -0.0070, -0.2, 0.02, -0.0010
-5.5, 0, -0.0050, 0.016, 0.0, 0.0, -0.0010
3.2, 0, 0.0045, -0.0060, 0.0, 0.0, 0.0010
4.0, -20, -0.0018, 0.0050, 0.1, 0.0, 0.0020
9.1, 30, 0.0011, 0.021, -0.1, 0.01, 0.0020
-6.2, 40, -0.0056, 0.0040, -0.1, 0.0, -0.0020
4.9, -20, 4.0E-4, 0.037, 0.1, 0.0, 0.0020
0.4, 0, -0.0054, -0.0020, 0.1, 0.0, 0.0010
-8.5, -20, -5.0E-4, 0.0020, 0.1, -0.01, -0.0020
3.9, -20, -0.0072, 0.0030, 0.2, 0.01, 0.0030
-8.3, 0, 0.0070, -0.0060, -0.2, 0.0, -0.0030
-3.9, 0, 2.0E-4, 0.0060, -0.4, 0.0, -0.0050
3.5, -40, 0.0, 0.0030, 0.3, 0.01, 0.0010
3.1, 0, 4.0E-4, -0.041, 0.2, 0.0, 0.0050
-5.7, -20, 0.0101, 0.027, 0.1, 0.0, -0.0020
2.6, -30, -0.0075, 0.041, 0.1, 0.0, 0.0010
-3.5, -70, -0.0062, 0.019, 0.2, 0.0, 0.0010
0.7, -40, 9.0E-4, -0.0050, -0.2, 0.0, -0.0040
0.1, -30, 0.0105, 0.023, 0.1, 0.0, -0.0020
1.9, 30, 6.0E-4, -0.0010, 0.1, 0.0, 0.0050
-2.8, 30, -0.0038, -0.0060, -0.3, -0.01, -0.0010
6.6, 30, -0.0021, -0.0080, 0.3, 0.0, 0.0020
5.5, -10, -1.0E-4, 0.0020, 0.1, 0.0, 0.0010
7.0, 0, 0.0, 0.0020, 0.0, 0.0, 0.0040
-3.8, 0, 2.0E-4, 0.0070, -0.1, 0.0, -0.0020
5.1, -10, 7.0E-4, 0.0030, 0.2, 0.0, 0.0020
5.7, -10, 0.0016, 0.0020, 0.2, 0.0, 0.0020
2.6, 20, -0.0016, -0.0050, 0.0, 0.0, 0.0020
-10.0, -20, 0.0048, 0.0030, -0.1, 0.0, -0.0030
2.3, 30, 0.0093, -0.038, 0.0, 0.0, 0.0010
-1.3, -20, 0.0080, -0.0030, 0.0, 0.0, -0.0020
-3.7, -30, 0.0020, -0.015, -0.1, 0.0, -0.0020
-4.4, 10, -0.0023, -0.0090, -0.2, 0.0, -0.0010
-2.4, -10, -4.0E-4, -0.0070, -0.1, 0.0, -0.0020
5.2, -20, -0.0065, 0.0060, 0.2, 0.0, 0.0040
-4.2, 0, 0.0019, -0.021, -0.2, 0.0, -0.0010
-3.3, 10, -0.0037, 0.017, -0.3, 0.0, -0.0040
1.7, -10, -0.0032, -0.0010, 0.2, 0.0, 0.0010
5.5, 0, -0.0010, -0.0050, 0.2, 0.0, 0.0020
-5.9, 20, 0.0049, 0.012, -0.3, 0.0, -0.0020
-7.0, 20, 0.0032, 0.0080, -0.3, 0.0, -0.0030
-3.9, 0, -0.0031, 0.01, -0.1, 0.0, -0.0030
4.2, -10, 0.0030, 0.0030, 0.2, 0.0, 0.0030
9.3, -10, 0.0055, -0.013, 0.3, 0.01, 0.0030
4.9, 60, 0.0040, 0.046, -0.2, 0.0, 0.0010
-2.0, 70, -0.0029, 0.048, -0.4, 0.0, -0.0010
-4.4, -10, -0.0037, 0.028, -0.2, 0.0, -0.0050
-2.4, 0, 0.0088, -0.018, -0.1, -0.01, -0.0010
0.2, 0, -0.0069, 0.0050, 0.0, 0.0, 0.0020
-2.7, -10, 0.0019, -0.013, -0.2, 0.0, -0.0030
2.5, -20, -0.0049, -0.013, 0.1, 0.0, 0.0030
-1.3, 0, 0.0039, -0.0090, 0.1, 0.0, 0.0010
-0.1, -30, 0.0089, -0.0030, 0.3, -0.01, 0.0010
4.4, -20, -0.0034, 0.0, 0.1, 0.0, 0.0010
-3.7, 20, 1.0E-4, 0.0050, -0.1, 0.0, -0.0020
5.8, 20, -1.0E-4, 0.0030, 0.1, 0.0, 0.0020
-9.3, 50, -0.0040, -0.028, 0.0, -0.01, -0.0010
-4.8, 30, 0.0075, -0.024, 0.2, 0.0, 0.0010
-9.1, 10, -0.0042, -0.015, 0.0, 0.0, -0.0020
-0.5, -50, 0.0102, -0.0010, 0.1, 0.0, -0.0010
-2.4, 20, -0.0054, 0.0050, 0.0, -0.01, 0.0010
-4.7, 10, -0.0026, -0.0070, -0.1, 0.0, -0.0010
-3.0, -20, 0.0053, -0.0070, 0.1, 0.0, 0.0020
-1.4, -60, 4.0E-4, -0.014, 0.0, 0.0, -0.0020
4.9, 0, -0.0041, -0.025, 0.1, 0.0, 0.0010
-11.7, 0, 0.0015, -0.0040, -0.2, 0.0, -0.0040
-8.2, 50, 0.0029, -0.0010, -0.3, 0.0, -0.0030
-4.3, 40, -0.0107, -0.018, -0.1, 0.0, -0.0010
7.9, -30, 3.0E-4, 0.0010, 0.2, 0.0, 0.0010
8.0, 20, -0.0014, -0.0070, 0.1, 0.0, 0.0030
6.7, 40, 6.0E-4, -0.012, 0.1, 0.0, 0.0020
-3.4, 10, 3.0E-4, 0.025, -0.1, 0.0, -0.0010
-5.7, 0, 0.0017, 0.0030, -0.4, 0.0, -0.0040
9.2, -50, -0.0020, -0.0050, 0.4, 0.0, 0.0080
-0.2, 10, 0.0070, -0.0030, -0.1, 0.0, -0.0020
-1.2, 0, -0.0073, 0.0040, -0.1, 0.0, -0.0010
-5.0, -20, 0.0047, -0.031, 0.0, 0.0, -0.0010
-0.2, -50, 0.0122, -0.0020, 0.2, -0.01, 0.0010
3.2, -20, 0.0039, -0.04, 0.2, -0.01, 0.0020
-7.1, -30, -0.0012, 0.023, -0.1, -0.02, -0.0020
-6.7, -10, -0.0050, -0.0020, 0.1, 0.0, -0.0010
-3.2, 20, 6.0E-4, 0.011, -0.3, 0.0, -0.0020
-4.3, 20, -0.0041, 0.026, -0.2, 0.0, 0.0010
-0.5, -50, 0.0055, -0.0090, 0.1, 0.0, 0.0010
5.1, 0, -0.0033, -0.012, -0.1, 0.01, 0.0010
3.5, -30, -0.0066, -0.019, 0.0, 0.01, 0.0010
-4.1, 0, -0.0031, 0.023, 0.0, 0.0, -0.0020
-5.8, 0, 0.0059, -0.0050, -0.1, -0.01, -0.0010
-6.6, -10, 0.0036, 0.0020, 0.0, 0.0, -0.0020
0.5, -20, -0.0119, -0.015, -0.2, 0.02, -0.0010
-1.8, -20, -0.0075, -0.031, -0.1, 0.0, 0.0010
-4.9, -30, 0.0077, -0.03, 0.0, 0.0, -0.0010
-3.7, 50, -0.0063, -0.032, -0.2, 0.0, -0.0010
-1.0, 20, 0.0124, -0.0070, 0.0, 0.0, 0.0010
-4.2, -10, -0.0076, 0.0040, -0.1, 0.01, -0.0010
-9.0, -10, -0.0066, 0.014, -0.2, -0.01, -0.0010
3.5, 10, -0.0087, 0.0020, 0.2, 0.0, 0.0020
4.9, 40, -0.0021, -0.032, 0.0, 0.0, 0.0020
-8.3, 30, -1.0E-4, -0.033, -0.1, 0.0, -0.0060
2.1, 10, -0.0021, 0.0020, 0.2, 0.0, 0.0040
-8.1, -10, 0.0030, 0.0060, -0.1, 0.0, -0.0040
