@relation delta_elv
@attribute climbRate real [-15.0, 15.1]
@attribute Altitude integer [-100, 90]
@attribute RollRate real [-0.0237, 0.0184]
@attribute curRoll real [-0.051, 0.049]
@attribute diffClb real [-0.8, 0.7]
@attribute diffDiffClb real [-0.03, 0.02]
@attribute Se real [-0.014, 0.013]
@inputs climbRate, Altitude, RollRate, curRoll, diffClb, diffDiffClb
@outputs Se
@data
-6.2, -30, -0.0022, -0.011, 0.1, 0.0, -0.0020
-0.2, -40, 0.0059, -0.0050, 0.1, 0.0, 0.0010
-2.0, 10, 0.0051, -0.023, -0.1, 0.0, -0.0010
-2.9, -60, 0.0024, 0.019, -0.1, 0.0, -0.0010
-0.7, -50, 0.0033, -0.02, -0.2, 0.0, -0.0010
8.3, -40, -0.0032, -0.01, 0.0, 0.0, -0.0010
9.3, -20, -0.0012, -0.014, 0.1, 0.0, 0.0030
-2.2, 10, 0.0010, 0.0020, -0.2, 0.0, -0.0020
3.3, -10, 7.0E-4, -0.019, 0.2, 0.0, 0.0020
-5.4, -10, -0.0037, 0.012, 0.0, 0.0, -0.0020
-2.5, -40, 0.0019, 0.027, -0.1, 0.0, 0.0010
-5.2, 10, -0.0033, 0.0010, 0.0, 0.0, -0.0010
1.4, -10, 0.0039, 0.01, 0.1, 0.0, 0.0010
6.0, 10, 0.0057, -0.0010, 0.1, 0.0, 0.0010
-6.1, 30, -1.0E-4, -0.014, 0.1, 0.0, -0.0010
4.3, 90, 0.0020, 0.019, -0.1, 0.0, 0.0010
0.2, 80, 0.0073, -0.0040, 0.0, 0.0, 0.0020
2.1, -20, 0.0045, 0.01, 0.0, 0.0, 0.0020
-4.6, 0, 0.0024, 0.01, -0.3, 0.0, -0.0050
1.9, -20, -0.0077, 0.022, 0.0, 0.0, -0.0010
-4.8, -10, -4.0E-4, 0.036, -0.1, 0.0, -0.0030
-5.6, -10, -0.0014, -0.011, 0.0, -0.01, -0.0010
1.3, -20, -0.0072, 0.0090, 0.1, 0.0, 0.0010
-3.7, 10, 0.0051, 0.015, -0.2, 0.0, -0.0020
-5.2, -10, 4.0E-4, 0.03, 0.0, 0.0, -0.0020
10.1, 10, 0.0030, 0.017, 0.1, 0.0, 0.0020
2.0, -20, 0.0059, -0.026, 0.0, 0.0, 0.0010
-2.0, -10, 0.01, -0.0070, -0.4, 0.02, -0.0010
