@relation mortgage
@attribute 1MonthCDRate real [3.02,20.76]
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@inputs 1MonthCDRate, 1Y-CMaturityRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 30Y-CMortgageRate 
@data
4.85,95.147,6.87,4.19,4.2,5.01,5.05,4514.8,475.7,371.1,4.68,1108.5,624.6,3318.1,1663.2,4.67
5.57,95.2,7.16,4.97,4.97,5.53,5.57,4218.1,431.5,393.2,5.45,1081.6,642,3093.2,1445.3,5.37
7.27,109.996,10.01,6.52,6.49,7.29,7.46,1974.5,171.1,270.8,7.47,634.9,458.6,1514.1,829.2,7.01
6.36,86.427,9.59,5.83,5.87,7.42,7.85,2780,256.3,275.2,6.1,840.1,576.7,2122.2,948.5,6.41
8.87,93.405,10.09,8.01,7.95,8.23,8.2,2549.4,218.8,279.2,9.04,782.1,554.9,1983.4,863.7,8.3
8.93,92.348,9.82,7.76,7.77,7.8,7.81,2525.6,218.2,279,9.31,780,553.5,1961.7,861.8,7.85
5.35,92.426,7.7,4.72,4.71,5.73,5.81,4614.5,497.7,353.4,5.27,1101.2,594.8,3373.7,1741,5.24
6.84,85.793,10.28,5.92,5.91,7.92,8.27,2323,202.7,288.2,6.85,769.1,560.1,1775.8,946.5,7.07
5.76,78.424,7.6,5.46,5.43,5.97,6.11,3534.5,368.1,386.1,5.72,1144.8,766.3,2551,1099.9,5.64
4.15,87.29,8.96,4.08,4.01,6.09,6.86,2888.6,272.4,309.7,4.09,940,660.4,2120.3,1109.3,4.5
5.21,85.77,8.82,5.04,5.01,6.23,6.85,2825.6,264.1,282.1,5.19,876.4,604.6,2108.9,1017.8,5.36
3.15,89.329,8.04,3.07,3,4.98,5.9,2959.7,294.3,339.4,2.98,1029.7,727.9,2116.2,1187.8,3.5
5.13,96.747,7.65,4.59,4.55,5.7,5.75,4543.7,486,361.1,5,1100.4,605.3,3320.2,1716.3,5.06
3.08,80.36,7.84,2.91,2.91,4.35,5.26,2926.5,285.1,326.2,3.09,986,692,2104.8,1161.7,3.17
8.65,136.011,13.27,8.18,8.17,10.84,11.33,1786.3,159,246.4,8.68,567,403.3,1374.1,745.9,9.54
6.3,104.245,10.4,5.86,5.83,6.89,7.1,2018.8,175.6,284.1,6.32,677.1,493.4,1536.5,888.3,6.27
3.9,86.835,8.76,3.6,3.63,5.77,6.65,2903.6,273.6,313.1,3.65,945.3,664.7,2128.1,1115,4.14
8.72,89.936,9.78,7.77,7.68,7.9,7.88,2597,223.3,281.8,8.38,797.5,568.1,2014.1,896.1,7.8
5.59,90.562,7.91,5.08,5.05,6.4,6.54,3903.4,406.4,393.5,5.49,1060,645.2,2881.3,1324.7,5.86
14.88,95.847,13.59,13.7,13.78,14.07,13.76,1150.2,107.1,260.5,14.62,389,278.7,882.3,187.5,15.24
5.7,92.473,8.15,5.36,5.26,6.39,6.46,4773.5,530.4,337.1,4.72,1118.5,579.7,3512.9,1735.2,6.03
5.36,86.471,7.85,5.02,5.03,6.15,6.33,3793.8,396.2,404.8,5.28,1083.2,678.7,2803.2,1277.2,5.61
5.56,97.145,7.05,4.95,4.95,5.55,5.57,4255.7,437.5,385.2,5.63,1077.5,631.6,3125.8,1484.7,5.42
8.26,91.649,10.29,7.85,7.91,8.6,8.59,2645.6,227.4,277.5,8.28,799.8,565.7,2041.3,907.5,8.34
5.36,92.147,7.85,4.78,4.84,5.92,6.03,4625.3,499.3,353,5.17,1100.5,592.7,3367.5,1743.4,5.42
9.86,90.488,11.07,8.87,8.82,9.47,9.36,2484.7,215.1,278.7,9.71,776.8,555.4,1921,886.1,9.47
9.57,119.869,13.23,9.2,9.18,11.24,11.75,1614.1,148.5,240.6,9.62,528.8,376.1,1205.2,674.6,10.24
7.83,81.661,9.93,7.08,7.07,7.69,7.96,2744.5,246,277.7,7.8,824.3,571.1,2109.8,923.7,7.29
4.9,91.346,6.83,4.39,4.35,4.61,4.61,4545.4,462.4,372.8,4.75,1092.8,622.2,3325.6,1620,4.51
8.8,142.527,13.1,8.73,8.69,11.07,11.51,1772.7,158.3,247,8.63,564.6,401.7,1361,740.9,9.89
8.32,116.536,12.71,8.04,8.03,9.43,9.77,1467.1,138.5,235.8,8.8,497.2,354.6,1096.7,673.5,8.64
7.47,133.967,12.15,7.06,6.97,9.27,9.85,1833.2,162.1,255.7,7.46,589.1,420.4,1403.7,773.1,7.91
12.8,104.529,16.95,11.04,11.14,14.15,14.03,1318.5,123,230.2,12.43,436.1,309.4,1004.3,344.6,13.56
8.22,90.875,10.16,7.74,7.74,8.44,8.47,2694.3,234.3,276.5,8.28,812.1,569.6,2071.4,915.5,8.14
5.56,92.495,7.53,5.01,5,6.08,6.23,4008.3,415.3,391.3,5.48,1061.9,637.7,2968.4,1363.2,5.59
5.31,85.011,8.01,5.03,5.04,6.2,6.41,3667.2,377.9,407.5,5.22,1110.9,724.1,2675,1200.9,5.59
5.85,94.776,8.25,5.56,5.5,6.63,6.66,4803.6,520.1,336.3,5.66,1106.7,578.5,3550.3,1758.1,6.24
9.28,120.819,13.72,8.99,8.94,10.99,11.37,1526.1,143.1,239.2,9.48,514.6,366.5,1136,684.3,10.01
5.84,89.106,9.44,5.58,5.53,7.21,7.76,2799.6,260.6,281.2,5.79,867.9,598.3,2107.7,996.4,6.18
6.81,95.257,10.44,5.7,5.65,7.68,7.87,2189.6,187.9,294.2,6.75,744.5,549.5,1667.6,967.4,6.73
9.27,96.71,10.04,8.13,8.14,8.38,8.3,2503.1,217.4,276.2,9.35,773.6,548.8,1941.9,858,8.45
7.85,120.461,11.79,7.21,7.29,8.94,9.3,1885.3,166.9,261.5,7.95,610.9,439,1448.9,810,7.89
9.51,121.383,13.43,9.04,8.95,11.04,11.5,1585.2,147.2,240.6,10.06,524.7,373.4,1174.8,683.5,10.02
3.09,87.955,7.47,2.98,2.98,4.47,5.24,2982.5,298.3,343.1,3.02,1036.8,730.9,2115.3,1187.9,3.39
17.21,97.175,15.4,15.38,15.32,13.83,13.22,1156.3,107.5,259.5,16.45,388.7,278,887.4,184.4,15.68
8.34,91.923,10.34,7.96,7.96,8.7,8.68,2646,228,276.5,8.27,800.3,565.6,2039.9,908.3,8.42
6.04,88.632,9.53,5.69,5.66,7.25,7.74,2775.6,256.7,274.6,5.92,840.8,577.2,2116.5,962.4,6.25
5.76,81.488,7.57,5.34,5.3,5.84,5.92,3570.6,370.6,390.6,6,1138,758,2576.1,1118.3,5.61
3.36,82.464,8.13,3.23,3.22,4.99,5.93,2901.7,278.9,316.1,3.24,961.6,674.1,2103.3,1139.6,3.64
5.31,90.25,7.65,5.01,5.05,6.15,6.31,3835.7,400,398.7,5.16,1072.6,664.2,2822.4,1296,5.6
5.98,78.151,7.55,5.57,5.48,5.83,5.96,3507.7,367.5,384.4,6.02,1144.9,767.7,2524.3,1096.9,5.66
5.63,88.559,9.15,5.4,5.34,6.7,7.35,2798.4,261.9,279.9,5.58,869.9,599.5,2106.4,1003.4,5.74
6.6,106.643,10,6.07,6.05,6.98,7.19,1979.6,172.6,276.7,6.87,650,472,1515.5,847.1,6.49
5.32,85.263,8.06,5.01,4.91,6.16,6.35,3717.9,389.1,400.8,5.4,1084.3,686.1,2736.5,1245.9,5.61
10.18,119.312,13.55,9.76,9.72,11.8,12.2,1624,149.4,241,9.97,531.4,377.7,1212.6,709,10.79
8.57,116.674,12.79,8.17,8.16,9.71,9.98,1458.6,137.2,232.7,8.76,490.8,349.6,1094.1,659.4,8.94
5.66,88.319,9.27,5.51,5.4,6.92,7.54,2795.2,260.9,279.4,5.83,866.6,596.8,2105.1,998.6,5.88
14.07,111.446,17.04,12.55,12.72,14.18,14.03,1349.8,124.5,228.9,14.48,442.1,313.9,1034.3,344.4,14.01
5.05,93.864,6.86,4.4,4.35,4.6,4.59,4525,457.3,378.5,4.89,1092.5,626.9,3307.3,1583.3,4.54
7.84,121.833,12.17,7.14,7.17,9.35,9.82,1866.1,166.1,261.2,7.84,606.7,434.9,1435.2,801.4,8.06
5.98,90.498,9.65,5.61,5.58,7.41,7.95,2792.4,258.4,279.6,5.78,857.8,591.4,2116.6,985.2,6.37
4.4,83.865,8.52,4.31,4.3,6.39,6.83,3244.3,343.8,386.8,4.3,1152.7,799.2,2276.4,1207.3,5.41
11.41,125.288,14.5,9.77,9.81,13.46,13.72,1665.6,152.1,243.2,11.27,542.1,384.2,1260.2,700.8,12.28
18.31,102.281,16.12,15.96,16.44,15.35,14.94,1261.4,118.3,237.2,18.91,425.4,303.5,951.7,369.6,16.36
10.85,131.236,14.18,10.23,10.19,12.26,12.46,1701.2,154.7,239.6,11.2,542.4,382.7,1297.4,686.5,11.39
5.33,84.318,8.24,5.02,5,6.33,6.55,3666.6,377.1,407.3,5.22,1119.1,733.3,2673.3,1192.3,5.67
9.42,85.777,10.71,7.98,8.09,9.17,9.16,2427.3,212.4,286.9,8.51,786,567.5,1864.8,927.7,9.1
6.21,103.17,10.4,5.7,5.71,6.75,7.06,2027.3,175.5,283.9,6.36,678.1,494.7,1541.4,891.2,6.16
5.48,83.366,7.02,5.02,4.98,5.13,5.3,3623.8,373.1,393.4,5.61,1119.4,737.9,2640.8,1151.7,5.03
4.26,86.697,8.33,4.16,4.12,6.21,6.65,3215.8,340.1,386.1,4.21,1147.5,798.7,2250.2,1211.4,5.18
8.7,131.564,13.42,8.43,8.41,10.67,11.09,1725.6,154.9,239.6,9,544.6,385.4,1319.5,697.2,9.55
5.3,84.361,7.93,5.06,5.02,6.18,6.38,3684,386.4,402.4,5.18,1098.3,702.4,2707.5,1229,5.64
14.76,107.512,18.44,13.35,13.14,15.34,15.36,1298.3,120.8,229.3,14.87,428.2,303.5,984.2,342.7,15.02
7.64,90.33,10.38,6.57,6.58,8.27,8.51,2365.5,205.9,290.7,7.81,782.8,568.6,1815.7,957.4,7.62
5.99,82.978,8.73,5.74,5.72,7.07,7.23,3362.1,359.3,384.4,5.94,1145.9,778.6,2427,1115.3,6.54
5.74,81.674,7.35,5.34,5.35,5.56,5.7,3598.9,371.6,389.2,5.81,1131.1,750.9,2608.8,1126.8,5.44
12.64,104.583,17.04,11.69,11.35,14.09,14.04,1325.5,123.1,233.5,12.54,439.6,312.8,1010.6,345.5,13.68
16.79,97.861,15.03,15.4,15.51,13.86,13.59,1235.2,116.4,241.6,16.51,414.8,294.9,929.6,375.7,14.92
