@relation mortgage
@attribute 1MonthCDRate real [3.02,20.76]
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@inputs 1MonthCDRate, 1Y-CMaturityRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 30Y-CMortgageRate 
@data
8.72,90.729,9.69,7.62,7.6,7.72,7.69,2605.8,223.4,279.6,8.52,794.4,564.8,2020.2,894.7,7.66
13.85,109.392,17.19,12.06,12.47,13.94,13.82,1347.4,124.4,230.8,14.35,443,314.8,1033.8,343.9,13.73
6.59,87.979,9.94,5.74,5.67,7.42,7.73,2280.2,198.9,287.2,6.77,755.9,551,1743.9,936.5,6.65
17.43,96.064,15.07,15.2,15.01,13.13,12.89,1237.4,115.5,241.9,18.12,410.3,291.3,933.1,377.5,14.24
3.16,85.121,8.21,2.97,2.94,4.93,5.85,2937.9,288.7,336.4,2.96,1012.5,715.6,2110.2,1179.5,3.5
7.57,86.024,10.61,5.73,5.73,8.08,8.38,2255.3,197.9,287.5,6.81,750.3,546.7,1718.2,935.2,7.15
6.3,87.478,9.52,5.86,5.82,7.36,7.79,2771.1,256.4,278,6.1,843.8,580.3,2115.2,949.5,6.34
5.56,100.143,6.92,4.91,4.92,5.29,5.32,4336.6,445.7,373,5.59,1070.9,616.4,3183.2,1527.3,5.24
7.81,94.47,11.58,6.96,6.98,9.43,9.73,2229.8,193.1,293.9,7.59,754.8,555.1,1704,950.7,8.33
11.1,92.872,13.43,10.46,10.45,12.06,12.01,1181.3,112.8,263.9,10.85,405.7,288.8,891,193.2,12.07
9.06,88.515,10.71,8.3,8.24,9.14,9.09,2439.5,213.2,285.2,9.13,785.5,566.1,1877.5,916.1,8.96
17.84,108.576,17.48,15.83,15.71,16.39,16.04,1286.6,119.7,231.9,17.41,427.5,303,975.2,351.6,17.07
3.1,86.414,7.57,2.92,2.91,4.38,5.21,2988.2,300.6,348.1,3.11,1045.1,736.9,2114.5,1188.2,3.31
5.4,86.534,8.92,5.18,5.16,6.38,7.04,2808.4,263.2,279.3,5.29,871.3,600,2107.4,1011,5.5
5.93,77.839,7.63,5.53,5.43,5.74,5.85,3526.8,367.6,387.8,6.21,1150.3,772.5,2542.6,1092.6,5.53
5.56,98.385,6.91,4.96,4.94,5.44,5.41,4275.9,441.5,375.7,5.47,1071.7,621.1,3145,1504.9,5.34
4.43,84.839,8.57,4.2,4.16,6.46,6.89,3224.5,342.2,381.1,4.19,1145.9,794.6,2252.4,1208,5.47
5.57,95.499,7.22,4.94,4.91,5.69,5.72,4226.2,435.2,385.8,5.4,1078.6,635.3,3107.8,1470.4,5.45
