@relation mortgage
@attribute 1MonthCDRate real [3.02,20.76]
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@inputs 1MonthCDRate, 1Y-CMaturityRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 30Y-CMortgageRate 
@data
7.32,102.126,9.37,5.68,5.65,6.54,6.79,2139.6,181.3,312.6,9.2,740.5,554.1,1632.1,950.6,5.97
9.35,121.718,13.23,9.08,9.06,10.96,11.43,1596.5,148,240.5,9.58,526.5,374.4,1189.7,698.7,9.94
6.65,97.526,10.35,5.96,5.87,8.02,8.3,2204.3,189.9,291,6.75,745.8,547.5,1676.1,960.7,6.96
5.36,92.237,7.84,5,4.98,5.87,5.95,4649.3,503.2,353.1,5.27,1105.8,594.5,3412.1,1740.3,5.45
14.9,98.978,15.4,14,13.79,13.55,13.33,1238.3,116.8,239.4,15.53,418.7,298.2,932.1,371.1,13.92
5.32,84.227,7.88,5.04,5.03,6.13,6.31,3690,385.4,404.8,5.1,1100.6,705.5,2704,1228.3,5.62
3.08,88.272,7.86,2.98,2.92,4.78,5.66,2949.6,295.4,340.6,2.94,1031.5,728.6,2107,1188.2,3.41
3.97,88.076,8.34,3.31,3.3,5.35,6.2,2957.9,291.9,340,3.37,1021.8,722.3,2115.5,1185.9,3.82
6.83,95.947,10.36,5.82,5.68,7.72,7.96,2198.5,188.4,295.7,6.61,747.2,551,1678.6,966.8,6.71
14.8,94.937,14.18,13.51,13.29,12.99,12.59,1210,114.9,264.7,14.65,411,292.5,912.8,414.6,13.61
5.33,87.371,7.85,5.03,5.04,6.17,6.34,3813.9,397.3,402.8,5.19,1081.2,675.6,2803.9,1282.6,5.61
3.3,82.426,8.05,3.18,3.18,4.83,5.7,2895.4,280.9,318.4,3.18,969.3,679.2,2090.4,1147.9,3.57
5.23,94.249,8.15,4.79,4.72,5.87,5.97,4578.4,490.9,359.3,4.96,1099.8,600,3336.7,1726.1,5.23
5.22,84.311,6.94,4.8,4.79,4.94,5.2,3646.9,372.3,398.1,5.09,1117,736.3,2651.9,1164.9,4.81
3.1,87.24,7.5,2.94,2.92,4.39,5.2,2984.9,299.6,343.1,2.93,1039.8,732.6,2111.5,1188.2,3.3
17.44,104.736,16.8,16.75,15.61,14.55,14.09,1265,118.1,236,18.71,424.2,302.3,955.3,363.5,15.44
6.56,96.703,10.23,5.55,5.58,7.65,7.93,2196.6,188.9,291.7,6.52,744.9,547.9,1673.9,965.1,6.53
8.16,112.272,13.31,7.67,7.66,9.45,9.88,1429.9,133.6,233.3,8.42,476.8,339.7,1084.9,518.6,8.41
8.2,90.577,10.33,7.74,7.71,8.58,8.64,2673.1,231.9,275.2,8.22,805.1,566.1,2059.5,911.9,8.22
5.62,88.334,9.19,5.3,5.29,6.77,7.4,2798.1,261.3,279.8,5.62,867.7,597.6,2106.1,1000.6,5.72
3.04,84.95,7.42,2.88,2.87,4.24,5.05,2998.2,303.8,357.6,2.98,1064,752.6,2118.8,1200.1,3.23
6.39,93.23,7.84,5.05,5.09,6,6.03,4754.5,512.4,351.9,5.45,1112.4,591.9,3494.7,1742.9,5.69
11.19,131.433,14.29,10.33,10.29,12.19,12.34,1698.8,154.5,240.8,11.46,543.4,383.5,1292.2,686.1,11.41
14.54,112.667,16.91,12.89,13.1,14.36,14.25,1362.2,125.6,230,15.15,447.3,317.9,1043,345,14.2
8.04,81.77,9.9,7.02,7.04,7.68,7.93,2740.3,245,271.2,7.56,814.6,562.6,2108,923.1,7.3
7.79,82.407,9.56,6.86,6.83,7.4,7.65,2754.2,247.2,276.9,7.25,824.4,570.2,2119.8,923.8,7.08
9.9,122.29,13.46,9.04,9,11.13,11.55,1574.3,146.4,237.1,9.62,519.8,369.4,1171.8,682.6,10.13
14.76,105.071,18.53,13.53,13.41,15.21,15.14,1296.8,120.5,231,14.93,429,304.4,984.3,343.3,15.14
8.62,142.645,13.02,8.36,8.47,10.91,11.47,1771.3,158.4,247.6,8.4,565.1,402.1,1356.3,738.8,9.61
5.03,83.296,8.93,4.92,4.91,6.95,7.3,3278,350,387.6,4.62,1153.6,794.9,2325.4,1178.4,6.04
5.55,83.49,9.25,5.4,5.31,7.5,7.74,3302.6,353,383.3,5.53,1149,787.8,2355.7,1163.8,6.63
5.29,95.503,6.6,4.43,4.26,4.26,4.24,4416.4,451.8,377.3,5.58,1084.2,623.6,3233.1,1549.1,4.41
8.85,94.091,10.22,7.94,7.9,8.37,8.26,2549.5,219,276.1,8.96,779.9,552.7,1982.9,865.2,8.32
7.49,135.35,12.71,7.22,7.19,9.36,9.84,1811,160.8,250.9,7.6,577,411,1386.6,757.3,8.09
5.22,92.118,6.89,4.43,4.43,4.5,4.45,4522.4,455.8,377.3,5.22,1092.3,628.1,3294.9,1576.7,4.46
3.79,87.865,8.49,3.76,3.73,6.09,6.6,3191.1,334.8,386.8,3.59,1138.7,796.2,2226.5,1221.5,4.9
8.64,137.714,13.29,8.41,8.29,10.93,11.43,1787.1,158.8,248.3,8.38,568.2,404.7,1370.3,745.9,9.68
5.21,82.317,9.19,5.25,5.22,7.38,7.69,3289.8,352.7,384.7,4.74,1151.1,790.1,2341.3,1165.5,6.42
14.5,94.369,14.08,13.34,13.28,13.27,12.94,1205.9,114.7,264,13.99,410,291.7,910,418.2,13.97
6.4,81.647,9.36,5.97,5.94,7.01,7.41,2768.4,253.6,276.1,6.32,832.8,572.1,2124.4,932.6,6.23
4.34,87.014,8.77,4.32,4.19,6.54,6.98,3191.7,337.1,386,3.7,1144.5,799.5,2230.3,1221,5.49
16.23,99.548,15.2,15.46,14.68,13.53,13.32,1236.9,116.3,241.5,15.81,416.3,296.3,931.8,374.8,14.5
16.97,98.716,15.7,15.05,14.76,13.86,13.21,1155.5,107.6,258.7,16.24,388.1,277.3,887.9,182.9,15.58
15.58,99.499,15.4,14.46,14.44,13.95,13.76,1241.8,116.8,239.5,15.73,417,296.6,934.3,372,14.69
5.88,94.58,7.17,5.15,5.1,5.78,5.83,4093.8,424.4,394.4,5.4,1070,637.5,3016.5,1394.8,5.53
5.28,94.496,7.93,4.68,4.65,5.75,5.81,4570.9,491.8,355.8,5.03,1097.1,596.5,3332.9,1731.9,5.2
6.82,107.666,10.76,6.31,6.29,7.57,7.83,1987.2,173.8,280,6.89,662.1,482,1525.1,867.9,6.85
8.53,116.033,13.66,7.96,7.96,9.95,10.26,1421,132.4,234.7,8.84,476.6,340.6,1084.9,367.1,9.06
11.19,123.739,14.49,10.01,9.91,13.24,13.49,1660.9,152.3,242.3,11.49,541,383.2,1258,701.5,12.15
8.79,95.633,10.05,7.64,7.6,8.11,8.07,2560.3,219.2,276.4,8.96,781.3,554.3,1996.7,867.5,8.07
5.74,93.137,8.26,5.35,5.31,6.53,6.65,4796.6,522.3,348,5.59,1120.7,590.3,3535.5,1743.2,6.13
3.07,82.414,7.89,2.89,2.89,4.4,5.37,2928.8,285.6,328.3,3.28,991.1,696.5,2109.6,1165.9,3.15
5.28,84.851,7.67,5.04,5.03,5.89,6.05,3728.5,392,403.3,5.32,1081.6,681.1,2753.1,1259.2,5.44
10.31,93.74,12.95,10.03,10.01,11.52,11.69,1175.3,112.3,262.5,10.03,403,286.3,886.6,192.2,11.28
10.39,121.457,13.78,9.68,9.73,12.26,12.65,1644.2,150.5,241.7,10.7,535.1,380.1,1233.9,703.1,11.19
3.09,86.686,6.97,3.02,3,4.22,4.87,3051.8,313.4,371.7,2.98,1098.9,776.6,2158.5,1211.6,3.37
