@relation mortgage
@attribute 1MonthCDRate real [3.02,20.76]
@attribute 1Y-CMaturityRate real [77.055,142.645]
@attribute 3M-Rate-AuctionAverage real [6.49,18.63]
@attribute 3M-Rate-SecondaryMarket real [2.67,16.75]
@attribute 3Y-CMaturityRate real [2.69,16.76]
@attribute 5Y-CMaturityRate real [4.09,16.47]
@attribute bankCredit real [4.17,16.13]
@attribute currency real [1130.9,4809.2]
@attribute demandDeposits real [105.6,533]
@attribute federalFunds real [225.8,412.1]
@attribute moneyStock real [2.86,20.06]
@attribute checkableDeposits real [381.1,1154.1]
@attribute loansLeases real [269.9,803.4]
@attribute savingsDeposits real [868.1,3550.3]
@attribute tradeCurrencies real [175.6,1758.1]
@attribute 30Y-CMortgageRate real [3.02,17.15]
@inputs 1MonthCDRate, 1Y-CMaturityRate, 3M-Rate-AuctionAverage, 3M-Rate-SecondaryMarket, 3Y-CMaturityRate, 5Y-CMaturityRate, bankCredit, currency, demandDeposits, federalFunds, moneyStock, checkableDeposits, loansLeases, savingsDeposits, tradeCurrencies
@outputs 30Y-CMortgageRate 
@data
13.91,110.116,17.29,12.45,12.26,13.96,13.76,1343.6,124.3,230.1,14.07,441.8,313.7,1029.4,344.1,13.71
5.53,94.336,7.06,5.1,5.07,5.41,5.47,4178.2,429.9,391.5,5.43,1073.9,636,3072.3,1430.9,5.28
17.93,111.213,17.27,15.24,15.25,15.67,15.13,1282.5,120,231.7,18.29,427.3,302.2,971.4,354.4,16.45
6.61,97.028,10.3,5.97,6.05,7.98,8.3,2212.3,190.6,290.6,6.74,747.6,548.7,1684.1,957.1,7.01
4.86,92.948,6.82,4.44,4.42,4.95,4.96,4521.1,468.1,373.5,4.75,1097.3,621.1,3318.7,1639.3,4.71
6.18,88.02,9.49,5.8,5.75,7.25,7.69,2775.3,256.1,276.2,6,842.8,579.7,2113.2,952.5,6.26
3.81,84.057,8.43,3.67,3.64,5.49,6.4,2896.9,277.3,313.5,3.72,956.1,670.5,2103.6,1135.2,4.14
6.04,84.402,9.15,5.83,5.7,7.64,7.74,3317.1,353.9,384.4,5.47,1153.2,791.2,2377,1150.6,7.1
6.81,87.296,10.53,5.85,5.81,7.99,8.33,2260.9,198,289.2,6.81,755.5,551.7,1725.4,936.6,7.12
8.54,92.268,9.82,7.52,7.6,7.86,7.83,2590.4,220.5,277.9,8.72,786.4,559.1,2013.1,880.9,7.81
9.67,118.103,13.3,8.92,9.29,11.38,11.85,1611.3,148.9,240.5,9.74,529.5,376.3,1204.8,691.6,10.33
13.74,98.994,15.4,12.5,12.6,13.4,13.46,1250,117.4,239.3,14.93,423.5,302.5,941.7,373.4,13.2
4.83,83.743,8.53,4.21,4.16,5.46,6.25,2855.7,267.8,288.8,4.54,895.9,621.2,2113.7,1041.8,4.44
8.21,134.227,13.1,7.86,7.83,10.58,11.16,1744.1,156.4,242.8,8.75,551.9,391.2,1339,714.4,9.19
14.86,117.712,16.87,13.27,12.81,14.81,14.73,1384.1,127.8,225.9,14.81,446.8,314,1063,342.5,14.41
7.78,127.115,12.17,6.81,6.89,9.17,9.66,1865.9,165.5,266.8,7.96,610.5,439.1,1431.9,796,7.88
5.17,94.374,7.89,4.7,4.65,5.73,5.86,4567.8,489.6,358,5.06,1098.9,600.2,3324.6,1725,5.13
6.24,93.29,7.84,5.2,5.13,6.08,6.13,4750.6,508.5,353.7,5.63,1112.5,595.9,3491.2,1740.9,5.73
5.12,97.266,7.58,4.6,4.57,5.57,5.61,4550.4,487.3,360.2,4.97,1098.5,602.1,3324.6,1721.7,5.01
18.44,95.096,14.85,15.32,15.19,12.91,12.69,1234.7,115.3,248,19.64,412.8,294,930.7,382.4,13.91
18.26,108.372,16.88,15.56,15.5,15.61,15.17,1274.8,119.6,232.6,19.05,427.3,302.6,964.9,358.7,16.36
5.54,91.528,7.34,4.98,4.94,5.91,6.01,4029.5,418.3,389.7,5.45,1062,635.1,2989.7,1380,5.52
5.57,89.696,7.61,4.88,4.91,6.16,6.29,3932.5,408.7,396.9,5.62,1064.5,646.6,2916.1,1331.5,5.65
9.32,118.478,13.3,9.1,9.07,10.77,11.07,1497.4,140.2,238.9,9.39,509,363.4,1111.5,690.9,10.12
5.38,84.922,8.16,5.18,4.98,6.29,6.48,3702.8,388.7,403.2,5.34,1091.3,693.4,2733.4,1240.2,5.72
13.28,94.919,12.88,12.31,12.36,12.12,11.99,1145.5,106.6,262.1,13.64,390,280.1,878.3,189.3,13.22
17.72,107.704,16.74,14.56,14.56,14.86,14.53,1274.1,119.6,233.7,18.76,428.4,303.8,963.8,360.2,15.34
7.81,117.942,10.75,7.05,7.13,8.39,8.65,1946.7,168.4,264.8,8.2,618.9,445.7,1484.4,817.9,7.74
3.08,82.585,7.93,2.73,2.69,4.26,5.26,2939,286.6,331.6,3.41,997.9,702.4,2110.9,1169,3.02
7.91,118.188,10.99,7.23,7.17,8.57,8.86,1954.1,168.7,264.7,7.94,619.8,446.2,1490.9,819.1,7.86
10.82,123.1,14.04,10.07,9.88,12.78,13.24,1648.4,150.8,241.8,10.52,536.9,381.5,1241.4,704.3,11.68
4.4,84.796,8.38,4.35,4.34,6.36,6.77,3247.8,344.5,384.3,4.28,1150,795.8,2282.9,1200.2,5.41
8.55,91.475,9.76,7.55,7.61,7.77,7.74,2609.2,221.8,277.5,8.52,789.6,561.7,2024.7,892.1,7.73
12.3,92.334,13.73,11.3,11.24,11.54,11.46,1190,113.1,266.6,12.59,409.1,292,897.5,193.3,11.99
14.61,113.073,16.93,12.85,12.77,14.21,14,1359.6,125.5,230.5,14.68,448.2,319,1042.4,343.9,14.07
5.55,92.641,7.53,5.07,5.03,6.08,6.22,4000.1,414.2,398.6,5.64,1070.3,647,2955.2,1356.5,5.58
5.78,93.227,8.25,5.39,5.41,6.54,6.63,4809.2,520.7,345.1,5.43,1115.3,586.6,3543.4,1737,6.17
5.84,104.279,9.5,5.35,5.39,6.39,6.66,2084.4,180.2,295.6,6,712.3,526.8,1579.9,937.1,5.77
6.65,94.907,10.33,6.12,6.24,8.13,8.41,2215.4,190.4,291.7,6.76,749.1,550.6,1689.7,955.2,7.16
